"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
654,260,549,1,904
734,264,670,171,909
668,257,550,0,0
763,279,761,25,916
681,265,571,0,846
602,265,586,0,887
576,246,581,0,0
608,262,551,0,0
677,256,593,0,749
632,262,557,0,709
635,267,582,187,910
662,265,582,10,909
870,393,973,1,931
656,264,619,3,908
744,261,567,190,909
769,261,566,8,908
593,272,516,1,892
659,258,544,4,906
618,262,627,0,926
675,261,577,0,761
624,287,620,182,910
854,280,765,2,917
597,255,592,0,0
657,261,750,0,889
836,273,746,8,910
695,266,538,206,909
576,264,472,3,907
611,282,601,215,911
618,254,599,2,907
852,400,692,16,934
682,274,591,209,909
641,256,560,0,0
604,261,591,0,0
723,298,738,129,912
695,270,689,9,914
620,262,578,0,0
597,275,621,194,911
578,263,523,0,0
597,261,559,0,0
767,259,687,0,785
591,253,557,0,0
698,263,606,2,904
726,264,571,201,909
642,293,693,170,914
769,261,467,4,907
600,273,561,200,910
773,260,634,3,906
706,278,624,161,910
606,262,517,0,0
716,271,621,183,910
696,263,615,0,837
674,264,565,204,909
695,273,531,200,910
596,258,600,0,868
755,261,638,0,0
657,267,531,210,910
798,262,727,18,908
563,305,599,193,912
776,261,665,5,908
711,264,720,11,908
618,264,634,2,918
638,277,573,219,911
669,270,681,184,911
771,262,684,0,0
726,265,670,2,901
735,275,760,12,915
785,267,688,4,912
636,259,578,4,912
763,267,702,1,897
729,261,687,0,880
878,408,993,10,961
700,276,678,5,911
577,271,546,2,910
581,257,601,0,760
755,275,664,176,911
578,272,542,0,856
595,249,538,0,647
805,262,755,9,909
691,383,729,1,897
680,263,648,7,909
630,259,506,2,914
624,266,656,0,920
636,258,615,1,922
665,288,637,199,910
720,261,570,0,906
695,269,604,6,906
700,255,614,0,724
788,288,671,332,917
721,289,820,1,894
822,710,792,22,974
639,269,551,193,910
816,280,751,0,919
769,283,794,0,846
778,265,787,11,911
692,267,596,190,909
592,258,565,0,0
606,260,520,0,828
682,257,607,0,818
694,265,512,201,909
628,263,587,0,906
690,260,611,0,853
691,257,568,2,909
717,314,710,3,918
666,265,669,3,911
702,321,718,0,898
613,278,526,201,910
589,259,656,0,756
599,254,582,0,0
809,262,564,5,908
615,249,724,3,909
644,272,575,205,909
625,277,566,197,911
608,266,655,0,790
729,257,648,0,808
711,258,710,1,907
590,278,657,0,788
594,263,723,2,906
679,275,647,178,910
659,266,807,1,923
651,257,555,1,908
873,629,842,155,955
582,252,527,0,711
650,253,590,0,794
599,251,524,0,865
728,271,610,1,913
597,256,507,2,907
619,261,559,0,828
630,278,561,200,911
597,243,544,0,777
641,253,608,0,836
618,252,596,2,908
874,351,775,222,913
692,270,623,180,909
718,280,661,165,909
616,261,509,0,881
645,261,687,1,912
661,257,629,11,908
577,250,590,0,0
626,283,668,15,910
699,281,677,6,913
641,263,554,0,0
751,259,565,4,907
672,256,582,0,852
575,256,556,0,889
605,259,616,0,0
633,269,795,4,908
744,270,703,174,910
705,259,641,3,905
627,257,578,0,817
766,260,685,2,906
809,407,734,186,914
667,262,602,0,805
636,259,585,0,745
793,266,721,0,882
689,264,665,4,906
596,250,561,2,905
772,275,663,4,912
607,274,559,0,0
721,262,692,0,758
596,258,508,1,901
712,259,718,4,910
613,280,560,0,888
707,262,710,5,908
638,259,629,0,900
619,314,658,0,897
626,253,561,0,0
678,273,654,176,912
646,261,550,0,830
833,263,653,5,907
597,301,587,433,914
591,281,581,211,912
656,258,553,0,903
573,250,565,0,0
637,271,590,195,911
603,254,587,1,889
705,262,589,186,909
733,263,635,0,723
653,273,589,213,911
592,264,507,0,879
686,261,694,0,806
647,262,535,0,696
750,264,773,1,921
659,260,712,0,0
708,266,612,183,909
765,261,572,3,906
803,265,696,0,852
794,262,635,7,909
589,262,596,0,0
611,263,652,0,879
621,265,600,0,683
623,258,525,1,909
610,266,623,2,906
693,266,571,185,909
664,273,496,201,910
582,255,614,0,848
769,262,619,7,909
760,258,667,0,709
714,261,636,0,761
605,265,543,0,868
600,277,588,0,0
670,269,627,195,910
587,258,560,0,880
675,269,594,211,910
801,262,585,4,905
667,275,620,166,911
682,261,757,1,916
708,360,892,1,941
709,401,843,3,911
690,272,697,182,910
692,265,685,0,764
606,246,515,0,0
622,262,622,6,910
658,260,753,3,906
741,291,706,200,910
826,267,787,25,910
618,263,593,1,905
584,244,525,0,802
659,258,578,0,765
642,257,535,3,905
689,258,425,0,0
605,262,627,2,903
635,255,558,0,612
591,264,615,0,896
663,263,574,0,0
734,262,622,0,0
718,260,644,0,867
633,253,575,0,0
698,264,540,198,909
708,261,598,0,696
672,253,580,0,0
643,263,595,0,874
579,268,609,0,865
722,261,552,0,834
668,261,529,203,910
637,261,524,206,910
696,261,691,1,905
914,362,869,420,925
675,285,660,4,913
774,261,689,4,906
636,262,695,0,892
717,258,633,0,878
683,258,604,0,0
632,256,602,1,911
725,259,672,5,909
655,254,465,0,888
638,255,514,0,824
723,262,619,189,908
697,260,633,200,909
687,266,510,198,909
701,262,515,0,737
598,297,660,190,911
816,265,760,12,910
585,263,576,0,871
642,264,551,200,910
643,259,563,0,751
622,254,663,1,906
585,277,548,0,0
594,257,569,0,0
763,263,821,19,908
620,272,573,203,911
606,294,566,220,911
673,259,622,1,904
692,266,798,3,896
582,258,643,3,907
647,262,726,1,911
803,265,750,0,896
592,260,494,1,892
736,267,550,186,909
592,269,453,0,0
629,321,616,195,910
657,268,594,195,910
611,254,482,0,901
782,286,850,20,914
599,259,565,0,878
666,255,527,2,906
738,261,700,12,908
657,261,697,0,809
577,266,506,0,906
597,267,602,0,0
699,259,637,2,910
571,259,586,3,907
681,267,555,204,909
791,266,679,25,910
677,267,641,1,911
698,262,684,0,873
