"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
724,401,619,213,910
896,341,836,35,932
602,259,607,1,901
720,256,501,0,0
777,290,687,227,911
596,256,599,0,0
640,257,554,0,587
740,260,602,0,0
597,257,517,0,725
712,271,718,177,910
652,265,815,0,864
642,253,526,0,0
776,262,711,10,912
589,302,686,10,919
632,260,561,0,864
685,284,579,223,911
829,299,842,0,869
587,255,500,0,0
681,259,577,0,0
715,265,574,2,906
616,291,606,218,911
648,257,599,0,833
599,265,643,267,912
709,259,576,0,0
806,261,626,3,905
596,286,475,0,0
799,262,585,4,906
701,262,636,0,0
687,489,863,3,909
803,260,655,5,907
621,249,460,0,0
662,272,613,202,910
654,273,587,0,0
663,268,607,213,909
590,381,655,8,924
829,324,861,161,912
976,554,991,602,955
967,416,954,270,919
938,406,848,430,938
739,298,882,2,943
864,358,1023,2,931
604,257,754,0,853
614,274,546,216,910
625,255,558,0,0
799,259,539,3,905
628,260,675,0,896
595,284,625,230,914
596,248,539,1,904
601,259,541,0,870
780,276,783,14,914
650,265,610,1,896
616,262,521,0,864
656,261,611,200,909
818,261,728,0,0
650,255,427,0,0
737,258,626,0,0
853,286,778,5,909
608,252,639,0,896
755,260,614,3,903
584,283,549,227,912
801,260,680,0,0
690,257,517,0,0
610,248,658,5,907
600,257,511,230,911
639,263,530,1,886
801,261,682,0,0
721,262,652,0,0
586,346,528,0,869
791,261,544,193,909
669,259,513,231,910
586,268,474,0,867
593,268,528,0,0
656,256,627,1,900
759,258,545,3,902
613,249,0,1,894
615,261,544,1,905
618,256,730,95,909
620,254,640,0,0
839,265,873,0,0
598,248,502,0,856
753,497,748,19,956
684,275,719,195,911
590,248,581,0,884
606,259,520,199,909
689,256,481,1,881
577,255,520,0,0
588,278,472,0,0
702,259,548,0,0
662,261,765,1,903
603,257,546,0,0
742,272,746,26,912
631,267,514,230,910
699,257,721,0,0
789,262,660,0,0
640,267,492,0,844
662,287,659,365,912
609,315,643,197,914
686,334,762,185,912
664,272,679,2,907
607,276,560,214,910
577,274,508,1,901
623,285,573,225,910
651,281,620,228,911
811,263,584,7,905
725,260,621,0,0
685,254,600,0,0
592,260,629,1,924
746,261,713,35,908
613,312,458,0,897
655,274,566,222,910
791,267,668,11,908
588,256,601,0,0
675,256,570,0,0
706,287,709,189,915
604,269,571,0,901
674,257,619,0,0
627,267,590,1,884
693,259,575,0,0
807,270,682,221,909
606,249,531,0,0
606,255,583,0,0
796,262,680,0,0
616,259,520,0,0
609,260,491,0,855
704,259,457,1,902
633,258,762,1,899
770,264,635,189,909
754,258,655,0,0
650,259,563,0,0
579,241,527,0,1023
573,328,686,202,914
635,254,496,0,871
569,254,510,1,889
627,264,618,0,832
637,263,641,207,911
719,410,704,228,911
635,260,584,0,729
576,248,406,0,902
587,266,624,0,0
578,244,607,0,0
648,261,562,0,0
631,290,686,4,910
596,270,649,2,926
586,297,687,111,913
612,261,657,1,900
609,257,482,0,0
685,259,624,0,0
668,289,592,1,918
630,261,517,219,911
754,270,606,2,898
810,266,700,0,0
700,260,576,0,0
671,262,533,0,890
664,256,561,0,0
630,260,529,0,0
627,297,715,197,912
729,260,602,0,0
927,324,968,42,916
836,290,785,39,917
797,263,627,5,908
617,260,550,0,791
784,259,688,0,756
664,290,710,194,912
570,272,633,1,900
635,281,551,1,877
719,270,602,214,909
605,258,461,224,910
629,266,589,192,909
599,258,521,0,0
658,266,573,0,0
584,255,443,0,903
737,258,625,0,637
561,289,533,222,912
595,275,515,0,869
630,262,592,0,887
581,245,554,0,757
802,262,640,5,909
703,304,748,6,920
674,279,602,200,911
617,250,519,0,0
632,256,541,218,910
572,260,404,0,860
578,264,586,0,908
671,258,537,0,765
626,582,788,9,970
618,268,602,212,911
595,265,474,215,910
623,264,630,0,0
663,266,713,3,922
651,267,567,2,906
727,261,522,5,908
588,367,651,2,929
613,257,536,0,786
812,266,591,10,909
680,261,624,0,0
746,261,681,0,881
579,279,513,223,912
709,267,692,0,0
801,269,715,15,911
674,254,619,0,816
713,309,739,196,915
628,264,670,1,908
754,360,753,35,944
692,259,673,2,905
582,255,454,1,893
575,255,518,0,857
811,264,746,6,906
673,264,518,223,909
568,245,642,2,911
609,255,551,0,0
655,258,575,0,817
575,320,600,219,913
632,252,661,2,908
670,276,764,174,914
802,278,791,0,889
812,322,825,71,924
587,281,575,123,911
766,260,591,4,914
624,249,522,0,0
671,255,450,0,0
837,273,752,24,911
647,258,591,1,904
631,288,734,196,913
678,259,508,0,890
618,327,527,229,911
707,261,657,1,920
843,284,817,1,909
627,254,562,2,905
709,262,588,5,907
602,253,526,0,769
598,256,537,0,804
617,279,549,228,912
572,253,521,0,0
805,289,805,177,910
599,283,556,206,910
682,280,701,178,909
572,265,560,198,912
623,250,584,0,881
591,248,613,1,884
677,262,518,0,0
819,260,627,4,905
658,259,568,0,0
612,267,533,0,0
629,284,585,0,0
574,283,508,214,910
695,264,569,1,899
684,266,606,198,909
607,263,505,221,910
605,279,597,1,911
585,259,507,0,0
670,265,570,0,765
608,260,405,0,904
804,262,696,5,908
734,270,627,7,908
730,259,404,0,857
652,256,659,1,903
767,284,731,0,0
602,259,562,227,912
645,270,576,222,910
736,266,651,175,910
697,288,604,0,937
624,272,563,217,911
603,257,434,0,899
761,261,636,0,761
641,257,547,0,828
795,262,700,0,863
708,255,591,0,0
575,263,588,0,912
704,258,746,0,0
650,262,686,1,909
705,258,585,0,0
610,258,519,0,0
633,247,535,0,0
670,262,596,0,0
631,263,706,6,907
584,258,576,0,844
578,288,584,216,913
695,262,575,1,899
672,266,562,214,910
579,258,501,0,808
639,259,622,0,921
826,269,747,14,921
589,282,512,0,902
799,275,624,6,912
756,260,680,7,909
673,258,723,1,890
631,261,648,0,906
598,280,811,4,917
782,259,671,0,0
730,326,726,3,931
612,265,698,1,907
643,269,667,0,878
675,267,532,232,909
740,268,646,2,909
594,261,493,0,884
864,310,816,37,928
734,294,691,200,911
718,260,399,0,921
798,261,474,4,906
647,258,538,0,925
