"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
580,286,537,199,911
742,260,626,0,0
846,305,771,191,914
668,463,654,1,964
599,255,509,0,0
774,268,629,8,907
597,267,538,2,908
623,274,539,190,910
781,259,669,0,0
795,261,613,5,907
841,264,770,17,909
581,260,452,0,830
627,256,529,0,0
761,259,493,3,909
654,256,563,0,0
610,254,534,0,0
633,255,678,1,901
601,260,570,0,690
697,263,754,0,893
670,259,572,0,904
765,262,556,4,909
580,307,652,197,915
618,263,526,0,883
626,258,609,0,0
647,256,555,1,911
655,274,645,166,911
777,262,558,5,909
721,259,681,2,903
784,261,635,4,910
748,269,800,1,921
760,263,609,189,909
798,260,791,5,906
700,256,660,6,906
682,267,591,193,909
993,523,924,173,940
790,261,600,4,903
724,260,596,0,817
660,269,580,4,916
722,259,602,0,708
582,253,463,1,904
753,262,626,3,911
606,249,534,0,794
636,280,577,206,910
616,255,573,0,694
692,257,639,0,897
628,257,589,1,906
807,263,576,6,907
791,260,583,2,902
603,265,519,1,896
657,262,504,0,816
793,261,689,4,907
617,242,504,0,856
669,258,607,0,0
689,258,570,0,824
641,285,697,185,913
705,261,537,1,900
684,263,580,0,824
675,274,618,171,911
761,264,584,1,906
585,256,384,0,817
805,261,691,0,0
716,259,595,0,0
713,261,564,0,871
666,264,568,3,906
715,264,641,9,908
646,259,509,0,883
664,256,564,0,0
689,257,531,1,913
691,268,553,196,909
657,266,494,1,906
630,265,634,0,915
816,273,744,9,912
714,257,625,3,907
695,253,588,0,0
672,263,517,0,863
696,388,638,198,914
802,275,665,8,912
812,262,732,0,0
791,262,598,6,905
695,269,688,2,905
809,279,768,27,910
687,255,568,1,902
751,264,743,0,0
619,253,535,0,0
659,262,566,0,0
616,260,452,0,0
598,279,624,0,612
667,306,659,182,912
680,257,652,2,902
598,266,520,0,0
801,261,682,0,863
626,277,573,191,911
751,261,628,11,909
633,284,678,1,911
766,266,773,5,908
799,274,713,1,909
634,274,562,207,913
595,258,527,190,910
780,261,565,2,907
684,260,554,1,916
763,259,658,0,884
603,252,547,1,897
633,307,751,165,912
742,259,481,2,903
624,277,619,201,911
654,260,532,2,911
695,265,667,3,912
803,271,769,9,910
597,267,537,0,0
640,255,501,0,875
590,268,516,0,0
599,264,637,0,0
733,262,575,0,0
631,264,624,2,904
752,260,560,4,907
673,272,626,176,910
728,262,531,4,911
638,267,487,0,915
683,284,646,176,912
747,268,936,11,908
649,260,645,0,724
689,267,599,181,909
680,262,726,2,916
632,275,633,1,909
754,262,591,1,908
810,261,710,0,830
644,262,603,1,895
653,282,640,187,912
606,270,847,0,842
626,263,483,0,896
587,271,712,1,901
625,275,529,192,910
629,261,639,1,905
658,261,584,1,909
673,313,658,6,917
693,269,702,179,910
596,248,539,0,0
638,301,667,6,924
647,259,602,0,795
666,260,788,1,901
868,298,765,20,927
717,256,695,6,906
616,258,540,0,815
692,259,580,0,0
588,252,519,0,612
691,266,605,1,905
615,284,644,3,914
740,265,495,1,902
788,261,665,0,821
705,260,596,0,846
649,260,484,0,838
717,258,618,3,910
650,262,594,0,822
680,259,451,0,791
787,261,697,0,878
844,289,822,30,914
