"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
760,262,810,3,905
759,263,655,0,849
740,270,643,182,910
792,258,662,2,901
664,256,758,1,898
589,255,532,0,0
712,261,612,186,909
821,262,630,0,0
670,266,599,197,910
642,259,725,2,909
669,260,598,1,881
901,283,814,36,917
823,269,701,0,850
738,265,721,0,0
582,274,599,197,912
667,264,608,0,866
714,280,638,2,904
582,262,516,0,0
649,251,731,0,864
704,348,693,182,909
649,257,586,0,0
722,261,766,11,909
612,263,617,0,0
683,255,669,0,0
736,261,759,1,901
672,307,858,5,915
743,724,765,10,981
577,263,564,1,908
615,271,570,209,911
667,278,605,4,918
636,271,668,176,910
740,271,669,0,0
581,258,586,0,0
666,269,689,160,910
604,250,616,0,0
733,290,748,0,788
668,274,688,168,911
585,256,686,8,907
603,256,628,0,900
615,236,582,1,901
577,242,412,0,0
586,253,559,0,0
613,263,616,0,0
640,259,585,0,0
629,255,504,0,819
657,258,597,0,802
610,266,535,0,850
648,264,672,0,694
683,266,641,197,910
635,258,555,0,0
658,274,599,186,910
698,264,526,205,909
590,256,521,0,830
613,254,672,0,742
577,261,552,0,0
648,274,548,200,911
600,281,568,209,911
628,261,589,1,903
602,282,601,0,0
673,257,613,3,909
643,278,609,0,873
796,260,825,4,912
644,257,601,0,633
710,260,681,0,0
666,260,690,0,0
572,257,496,0,910
653,281,575,205,911
789,264,864,3,930
611,254,581,1,907
576,254,524,0,796
573,324,684,1,946
677,274,571,192,909
774,262,635,164,909
636,254,556,0,735
643,275,603,199,911
641,271,511,193,909
637,307,604,9,888
653,262,572,0,618
751,264,712,23,909
915,285,997,54,918
655,254,577,0,0
607,262,710,2,906
699,262,649,0,819
595,255,559,0,866
644,281,510,212,911
589,279,653,183,913
755,261,638,0,877
628,249,545,0,804
725,267,609,0,872
702,270,617,191,911
730,264,610,183,909
584,254,564,0,0
693,274,632,0,859
605,289,572,206,912
601,254,493,0,830
799,263,744,0,924
606,280,488,0,819
578,257,613,0,688
740,263,611,0,907
619,255,554,0,0
699,274,709,180,911
659,257,644,5,911
588,272,603,3,916
764,260,592,5,907
618,271,596,195,910
806,296,693,164,910
607,260,617,0,736
655,276,643,0,878
649,284,594,0,866
778,299,716,179,912
785,266,729,1,922
660,273,717,20,909
646,260,586,0,0
665,283,625,0,0
713,437,673,379,959
591,247,541,0,814
586,263,568,0,0
666,260,665,0,747
635,281,652,177,911
821,262,835,7,908
613,275,660,0,778
613,265,662,0,881
688,266,640,0,789
822,263,688,10,910
681,261,602,4,909
638,257,536,0,853
863,523,826,53,921
656,273,576,192,910
770,262,617,0,900
713,300,755,0,755
600,251,611,5,909
679,260,560,0,853
651,258,731,3,903
692,271,563,396,911
615,259,573,0,901
582,261,653,2,914
596,261,496,231,910
591,251,581,0,789
617,279,533,207,911
577,257,511,0,0
584,255,596,0,0
590,268,599,0,0
626,251,560,0,867
744,264,658,1,918
614,259,588,0,0
745,264,713,0,871
716,262,612,2,912
597,258,517,0,633
621,261,506,0,901
598,263,553,0,848
687,273,550,188,910
575,256,527,0,718
788,279,720,0,839
615,263,601,0,771
592,259,584,0,859
694,256,598,0,894
688,260,635,0,695
622,281,641,176,910
574,252,547,0,0
733,265,569,197,909
644,259,593,3,907
589,267,695,1,912
596,248,542,1,902
588,261,578,0,0
626,270,687,90,909
702,265,620,197,909
618,275,586,214,910
632,263,549,0,0
682,307,602,171,909
620,289,669,194,911
582,256,600,0,0
763,269,791,0,0
669,260,465,0,890
567,249,520,0,798
591,259,645,0,0
678,284,678,308,912
750,259,685,0,750
620,259,551,3,909
675,266,578,0,810
727,259,637,0,815
742,273,733,159,910
707,302,664,0,0
679,260,596,0,0
665,262,684,0,0
634,275,665,5,913
665,275,679,168,911
693,270,630,0,0
613,255,579,0,0
615,255,547,0,0
722,300,742,1,912
609,254,583,0,0
695,270,548,212,910
604,291,639,183,911
582,254,635,0,0
596,310,672,191,911
612,277,622,436,913
662,258,694,0,0
770,276,680,0,0
652,261,659,2,900
724,302,766,1,911
614,300,720,187,918
750,280,775,165,916
676,268,645,1,909
690,260,680,0,862
833,319,829,5,941
912,629,985,35,982
737,260,804,3,910
692,264,660,0,0
602,256,577,0,0
629,256,568,0,0
616,275,760,96,909
685,264,515,0,0
780,263,706,0,852
630,255,566,0,0
681,265,635,0,695
679,263,679,0,874
641,263,636,0,0
613,257,563,0,818
626,258,566,0,0
603,258,437,0,811
611,263,516,0,835
595,271,593,192,911
611,280,604,186,911
665,266,578,197,910
598,264,673,0,0
618,271,520,0,0
642,256,585,0,0
591,263,558,0,818
940,341,814,534,922
663,253,611,0,681
599,250,544,0,871
665,267,673,0,856
705,261,619,192,909
615,307,635,203,913
694,257,683,0,0
740,262,704,0,801
882,387,965,379,955
610,275,589,209,910
660,258,544,0,0
678,253,553,0,0
616,251,551,0,0
722,272,661,3,915
586,260,598,0,819
750,260,648,0,833
670,268,552,193,909
758,259,770,12,908
618,297,541,0,0
