"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
678,286,669,184,912
740,260,615,0,0
606,258,643,0,0
590,260,529,0,890
585,275,578,46,907
648,257,700,0,0
752,263,625,0,0
722,261,652,2,902
646,270,650,2,897
806,334,832,7,1011
753,259,637,0,768
647,267,485,0,752
577,270,491,0,830
594,265,557,1,882
841,267,682,9,908
610,291,626,199,912
635,277,547,218,910
650,264,542,0,0
774,262,545,3,904
813,260,723,0,849
789,274,722,2,900
773,261,688,6,908
710,278,661,9,910
706,257,586,0,0
703,255,786,42,908
581,259,504,0,0
750,262,714,1,898
725,259,652,2,905
730,258,615,0,0
592,269,503,0,0
612,257,522,0,0
660,258,554,0,0
655,259,571,188,909
588,265,724,0,700
572,254,529,0,0
585,246,506,0,0
612,269,558,0,0
807,265,737,0,0
692,261,727,10,908
695,258,585,0,0
784,261,673,0,0
661,265,563,0,0
672,261,545,2,904
713,315,657,181,910
721,258,595,0,0
607,303,581,218,911
804,268,842,0,0
622,281,730,199,914
793,261,654,0,0
620,261,591,6,905
590,248,513,0,0
734,258,586,0,0
627,259,539,0,776
654,264,565,0,0
599,254,567,0,0
577,253,524,0,0
800,263,920,6,906
576,289,522,207,912
803,262,718,0,0
812,261,725,0,0
787,261,671,0,0
579,258,527,0,0
596,243,578,0,0
620,256,384,1,902
682,257,581,0,0
745,263,615,0,847
579,253,532,0,0
576,264,542,0,853
803,268,832,0,803
743,262,605,2,900
662,267,573,0,795
675,259,578,0,796
740,262,573,0,0
806,264,763,0,0
604,265,562,205,910
681,257,590,0,0
770,258,639,0,0
808,264,729,0,747
651,279,571,187,911
586,268,546,0,806
653,259,661,1,898
613,256,504,0,773
683,270,620,186,911
615,258,569,0,0
576,293,540,0,869
792,265,670,0,0
633,259,537,0,631
804,263,741,0,0
696,258,580,0,0
731,257,630,0,0
600,264,531,0,0
585,249,518,0,791
762,263,839,6,910
815,263,728,0,870
608,247,609,2,906
665,261,707,3,911
648,258,571,0,913
720,307,700,187,910
801,270,723,15,911
760,261,639,0,0
637,308,567,1,915
595,261,511,0,0
686,262,704,1,904
586,255,519,0,0
730,259,614,0,810
615,267,542,0,883
771,262,642,0,0
706,261,652,2,900
606,260,542,0,0
714,276,699,183,911
665,292,758,1,926
704,263,631,3,910
608,351,627,0,873
745,286,607,1,915
659,270,640,213,911
871,298,830,312,913
620,264,521,0,0
649,267,561,0,892
703,261,498,201,908
597,253,597,1,914
680,264,515,0,868
713,287,655,196,912
755,260,628,0,0
719,264,628,1,902
