"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
667,256,719,0,628
827,306,750,18,914
676,263,490,1,903
799,265,834,0,0
856,288,879,22,913
645,258,536,2,904
814,262,716,0,836
794,269,729,225,910
704,256,688,0,768
765,260,642,0,0
616,263,613,1,904
634,258,586,0,0
601,263,432,1,913
689,257,577,0,901
736,259,566,0,897
864,307,855,1,920
740,259,625,0,919
606,250,625,0,0
585,247,350,0,763
581,257,433,0,0
639,262,638,1,898
743,258,618,0,0
593,266,768,0,0
683,288,670,211,912
599,255,543,0,0
726,254,620,0,0
667,256,712,0,0
753,269,620,4,910
624,264,422,0,834
710,262,577,0,0
798,295,785,19,921
573,259,457,0,890
596,264,748,3,910
680,263,639,1,908
601,252,684,0,902
642,260,697,0,651
885,443,989,5,946
791,273,661,0,0
641,261,523,0,0
856,269,897,0,926
625,251,711,0,0
621,248,499,0,0
691,260,581,1,891
595,256,529,0,737
700,262,582,224,910
811,267,840,0,918
771,304,772,0,908
702,272,636,237,910
602,258,523,0,0
653,258,505,0,826
604,260,523,0,0
609,250,450,0,865
809,260,584,5,905
661,264,574,0,0
654,262,586,0,0
665,261,800,0,893
677,262,644,1,904
636,261,538,0,0
614,278,666,211,914
610,254,607,0,870
689,259,631,0,0
816,279,867,1,918
789,260,677,0,836
711,263,595,0,870
1004,411,988,363,945
959,367,908,270,934
738,279,666,193,911
611,255,680,0,822
630,262,467,1,906
826,299,734,13,913
580,255,521,0,784
762,259,560,0,882
733,257,612,0,0
622,289,623,0,810
847,279,970,1,907
663,255,556,0,830
749,261,691,0,879
624,257,704,35,910
626,259,608,2,916
580,256,638,2,915
824,265,861,0,0
798,266,812,0,845
789,309,738,219,914
687,258,605,6,907
609,259,829,0,883
741,368,682,240,911
600,258,515,0,766
674,268,570,2,913
611,257,512,0,705
671,287,716,218,912
865,307,845,335,926
1017,490,1000,873,963
645,257,539,0,800
666,291,638,5,919
654,256,523,1,895
644,260,538,0,0
657,277,672,226,911
836,519,852,2,901
635,278,632,225,911
581,268,413,0,921
778,455,755,241,921
617,249,518,0,914
595,261,519,0,0
660,262,473,1,884
659,255,699,0,0
770,260,635,0,891
764,260,638,0,0
616,259,586,0,0
718,262,622,0,0
687,255,587,0,0
736,261,752,1,894
889,303,804,115,914
793,455,763,198,916
992,326,921,182,941
644,305,750,22,915
633,253,535,1,876
818,260,723,0,0
891,380,963,12,946
684,257,589,0,0
621,270,566,1,913
826,266,670,3,915
677,270,604,228,910
651,252,599,0,864
763,282,676,221,911
854,270,892,0,918
604,256,511,0,852
737,258,435,1,908
808,263,783,0,730
598,261,541,1,889
763,259,629,0,0
583,243,551,0,857
707,257,601,0,0
780,261,657,5,906
762,261,805,0,876
607,247,468,1,908
845,418,837,25,926
690,434,610,3,922
694,262,687,5,904
758,261,653,5,903
617,258,498,3,903
626,330,553,0,767
769,262,684,0,0
587,247,494,0,836
740,260,812,12,914
723,298,859,225,912
604,340,661,98,912
779,261,753,0,0
689,256,695,0,0
665,262,575,0,761
746,265,595,8,910
708,263,673,10,908
753,264,762,0,849
629,251,428,0,0
589,275,506,0,0
754,260,726,11,907
692,265,545,1,901
736,289,569,6,906
632,256,562,0,806
636,252,622,0,755
730,256,606,0,0
740,267,746,0,839
627,259,499,1,898
766,265,688,5,908
792,266,798,0,0
777,261,647,0,663
708,271,617,221,910
652,298,618,233,912
807,260,716,0,0
599,267,535,0,0
831,263,647,5,911
723,263,598,0,865
673,260,658,0,868
623,262,660,6,910
675,257,671,0,852
646,257,466,1,884
617,274,608,243,912
778,278,664,4,909
816,261,745,0,0
698,257,597,0,0
576,271,593,0,872
615,278,598,232,912
618,250,520,0,0
782,258,683,0,0
811,260,676,4,906
709,261,576,0,0
788,274,685,10,909
665,258,650,2,895
599,257,530,0,0
797,260,713,0,0
798,259,675,0,0
724,274,703,234,910
684,278,634,227,911
601,264,580,0,0
720,256,571,0,0
571,260,626,0,0
746,262,637,0,0
718,265,613,228,910
643,261,550,1,916
736,259,543,2,905
926,483,992,4,945
737,280,585,0,0
696,264,747,6,911
753,267,601,226,910
808,261,693,0,0
653,259,570,0,0
661,253,495,0,0
579,262,572,0,837
644,264,675,4,909
820,273,849,1,895
845,270,876,0,889
743,259,620,0,0
656,260,862,1,905
609,256,515,0,859
773,263,757,0,829
619,262,545,1,899
596,262,507,0,0
778,265,667,0,0
655,256,505,1,896
618,272,568,2,908
695,264,709,0,834
695,256,591,0,0
734,267,608,0,0
578,255,500,1,911
803,280,801,17,916
622,269,636,3,906
613,253,531,0,0
796,258,705,0,0
654,264,558,0,0
923,282,919,0,828
703,268,591,2,904
722,270,636,3,910
658,266,695,0,0
656,261,550,0,0
728,268,641,3,907
923,388,976,217,912
602,276,587,5,906
854,281,831,22,912
716,290,689,2,912
614,248,542,0,0
627,257,671,0,0
663,260,675,2,904
655,268,599,251,911
808,261,695,0,0
751,260,634,0,0
608,250,598,0,0
603,274,640,227,911
640,267,536,0,0
617,264,566,0,755
811,261,726,0,0
801,262,748,0,716
779,260,642,0,0
611,262,564,0,0
620,257,584,0,0
688,258,607,0,0
635,249,551,0,0
809,262,699,0,0
708,268,622,0,899
835,273,862,0,894
581,258,465,0,897
776,258,664,0,0
587,242,523,0,0
676,259,498,0,575
720,283,608,9,918
743,261,623,0,0
632,260,465,0,0
719,263,561,231,909
623,261,471,1,904
715,258,624,0,0
791,261,769,0,0
603,304,661,223,912
712,258,617,2,908
776,262,857,11,908
649,260,821,0,597
672,280,563,256,912
818,261,735,0,0
616,263,638,0,815
860,314,741,19,915
587,248,521,0,0
823,268,825,1,898
638,251,554,0,0
591,252,515,0,0
631,290,630,235,912
620,262,434,5,910
659,286,590,250,913
592,270,474,0,906
632,262,659,1,910
589,266,572,0,0
708,260,591,0,0
742,263,615,0,0
668,260,574,0,0
668,266,750,5,919
627,270,568,1,912
823,329,679,3,911
674,269,591,1,889
813,261,725,0,0
710,261,585,0,0
601,325,741,20,926
692,262,583,0,805
814,263,750,0,916
919,278,790,40,916
794,259,691,0,0
634,265,583,1,908
708,255,611,0,802
783,274,868,232,914
705,256,593,0,0
647,264,609,1,897
604,256,437,0,913
577,251,847,0,888
594,262,523,0,0
789,295,687,15,913
789,261,661,0,819
741,284,703,233,912
653,255,556,0,0
701,258,588,0,740
600,279,671,402,915
619,254,596,0,883
602,262,529,0,0
735,263,587,4,907
597,260,666,0,833
628,262,642,0,0
611,271,596,1,895
815,262,691,0,862
704,260,555,237,910
753,276,652,5,911
657,260,561,0,777
586,263,638,0,872
597,251,576,0,860
671,255,565,0,0
590,291,631,129,911
720,263,587,2,911
732,260,607,0,804
764,261,633,0,0
591,258,695,0,804
659,266,556,0,0
769,261,655,0,0
609,259,577,0,0
647,252,561,0,0
626,261,525,0,723
649,263,571,0,0
597,261,523,0,804
613,272,567,1,896
659,280,681,19,911
710,259,569,0,0
788,261,621,4,913
783,260,664,0,0
625,262,658,1,905
760,270,639,197,911
645,304,558,230,918
778,261,627,4,912
805,260,698,0,0
654,256,535,0,749
712,257,600,0,865
681,263,603,1,900
635,262,823,0,851
678,264,694,1,905
764,290,686,232,913
691,263,611,0,899
787,261,678,0,0
804,267,809,0,0
575,260,524,0,877
721,263,781,0,828
726,267,694,6,912
645,270,699,3,917
781,260,653,0,0
672,259,675,0,948
806,262,750,0,0
725,265,586,2,902
670,267,617,241,910
662,261,735,0,876
653,265,563,0,0
714,271,628,2,910
691,263,592,1,902
766,278,749,13,919
876,340,980,2,915
622,288,682,210,914
640,263,532,1,890
806,320,909,2,922
785,273,584,5,911
692,257,586,0,0
589,265,508,0,810
619,266,530,0,702
659,264,681,153,914
577,268,680,2,958
601,260,528,0,0
662,269,601,235,912
608,267,542,0,796
677,257,489,0,893
655,259,566,0,0
650,258,603,4,909
914,378,938,39,925
808,261,693,0,0
738,260,615,0,852
589,257,695,0,918
646,275,739,10,912
761,261,870,0,809
703,262,642,0,846
666,260,568,0,0
783,259,673,0,0
633,259,591,0,795
764,268,589,3,903
702,260,596,0,0
791,462,685,0,0
756,260,547,1,924
711,261,625,0,882
591,280,663,17,913
789,264,746,0,0
