"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
625,258,291,3,904
630,278,497,198,909
647,258,561,0,0
812,310,770,180,913
811,264,737,0,892
606,291,663,180,912
764,262,684,3,903
794,272,640,7,908
609,256,536,0,0
609,261,516,207,910
665,269,630,172,910
619,255,679,1,898
703,257,472,0,825
815,265,734,1,905
585,278,563,305,913
677,275,565,1,905
583,293,587,213,912
684,328,704,5,927
659,282,652,184,911
572,257,491,0,0
590,258,476,1,905
801,262,610,4,905
565,433,635,3,911
701,265,781,0,0
694,257,561,1,892
725,260,678,6,905
716,259,690,5,908
797,260,563,2,904
624,284,600,207,912
706,256,435,3,902
638,257,555,0,0
795,265,621,4,909
608,259,586,0,0
825,262,590,4,907
649,257,571,0,0
808,292,646,4,908
844,267,712,16,911
650,265,562,213,910
824,353,765,90,912
605,320,596,0,607
811,262,689,6,909
800,267,698,7,913
620,258,557,0,0
728,260,617,0,0
673,263,613,0,0
656,258,423,0,814
721,260,615,0,776
804,261,701,11,908
761,262,602,3,906
706,262,570,3,908
786,260,591,2,905
926,300,843,253,913
574,267,563,0,0
637,262,510,0,0
753,259,658,0,0
843,306,720,23,919
637,267,542,207,910
591,255,529,0,619
677,257,696,3,912
590,314,576,0,782
635,253,485,0,0
601,259,601,0,0
656,264,547,0,821
740,261,602,1,911
669,262,576,0,0
582,275,657,2,908
584,250,503,0,0
656,253,569,1,905
601,254,513,0,0
626,273,609,200,912
794,269,747,22,912
573,281,502,199,911
619,257,502,0,870
686,264,587,1,898
904,510,835,260,919
969,968,906,563,980
907,304,881,267,919
589,262,482,0,859
650,269,597,1,900
637,261,726,0,899
691,263,717,2,901
586,269,616,0,861
850,263,721,8,908
687,269,671,0,0
817,263,584,4,906
722,259,624,2,905
613,244,532,0,781
694,410,677,0,824
821,285,801,3,913
751,259,632,0,0
620,270,534,200,911
582,291,606,210,912
827,281,723,11,917
586,282,559,0,0
685,256,596,1,895
608,464,584,197,911
642,257,601,0,900
633,267,863,67,910
789,295,812,14,923
644,382,574,0,875
756,315,745,220,911
721,265,646,202,909
824,288,751,205,911
627,270,505,204,909
667,257,627,0,828
754,262,793,12,910
594,266,579,182,911
772,260,673,0,601
601,257,578,0,0
1023,633,1023,822,1013
779,537,822,398,968
597,270,545,198,910
760,271,705,3,910
634,261,561,0,0
740,259,671,1,912
646,258,534,0,0
645,261,601,4,912
643,250,567,0,0
640,262,546,0,0
725,289,707,0,0
661,263,566,201,911
587,261,536,1,908
641,259,717,3,907
825,265,712,16,911
608,256,503,202,909
629,274,610,5,908
689,259,699,7,908
695,268,625,196,910
892,272,839,10,914
588,250,491,0,0
587,255,552,0,747
593,264,631,0,0
808,265,725,9,908
704,261,535,2,905
603,253,427,1,909
593,278,561,197,910
579,248,456,0,0
600,298,483,195,910
647,260,618,0,791
802,261,693,0,864
817,311,675,211,914
849,268,702,17,911
674,252,624,0,0
595,265,558,0,882
650,259,671,2,911
705,257,496,80,907
636,257,571,0,0
828,265,674,7,909
577,256,545,0,0
699,258,489,2,910
574,248,615,3,910
592,261,480,0,881
595,268,536,104,912
624,247,492,0,0
640,261,549,0,0
614,277,646,192,911
581,255,506,0,0
683,270,590,208,910
629,261,579,0,836
658,256,623,0,0
643,252,587,0,0
644,259,613,0,921
716,259,794,15,909
770,259,627,6,907
766,260,560,3,907
768,263,664,0,0
656,259,596,0,796
695,260,561,0,871
644,260,564,0,0
646,261,632,2,921
674,254,676,2,914
812,278,849,26,913
708,261,717,0,892
778,262,710,2,909
796,267,598,5,909
681,277,659,185,911
783,262,508,4,909
610,268,531,204,911
679,263,658,0,0
722,259,604,0,857
735,263,640,0,720
724,261,598,7,910
657,261,537,0,0
626,256,505,0,0
664,267,564,189,910
637,261,591,76,908
668,263,621,0,0
710,258,574,1,898
604,252,527,0,0
611,261,550,0,0
819,293,915,15,914
681,260,578,0,844
582,265,526,0,878
804,408,718,11,923
637,256,664,2,908
670,262,579,0,0
809,272,867,28,910
615,255,540,0,0
701,430,613,0,773
631,277,597,187,910
587,249,496,0,843
650,280,555,366,912
585,257,554,0,789
779,301,759,21,916
942,455,883,285,932
609,257,586,2,902
585,243,525,3,908
624,257,469,0,679
726,263,571,209,910
650,256,525,5,910
569,269,522,0,773
836,291,813,222,913
697,261,511,209,909
793,258,694,0,950
820,261,636,4,908
608,269,589,192,910
719,281,654,7,915
642,257,543,0,0
693,305,667,0,903
754,263,650,0,0
592,262,534,0,0
594,283,689,194,915
697,279,629,185,911
644,261,650,3,908
587,285,502,199,911
777,262,508,4,904
719,262,613,0,698
588,258,526,0,892
603,254,529,0,0
782,311,809,152,912
659,262,568,0,0
749,258,607,2,906
568,278,536,0,0
706,261,622,0,0
630,255,625,3,908
676,262,564,0,771
772,260,696,0,0
675,266,554,204,910
597,258,612,2,907
593,326,544,0,0
603,267,562,0,0
643,271,546,192,911
592,276,532,0,0
726,295,782,0,733
689,262,619,0,0
606,254,576,0,0
592,289,611,0,805
615,255,434,0,0
593,254,538,0,0
645,255,561,0,589
626,285,814,4,915
784,274,775,12,918
927,411,847,253,933
719,262,663,0,0
651,263,667,1,918
732,261,572,5,906
776,263,556,6,907
763,258,559,3,908
684,257,459,0,887
639,263,528,0,0
584,270,497,0,0
578,260,463,0,591
670,261,598,0,0
747,261,718,6,906
763,262,569,5,910
621,268,554,206,911
587,249,479,0,888
693,255,511,2,896
697,262,649,195,910
625,278,575,1,922
647,258,484,1,899
873,299,887,51,915
587,263,536,0,0
697,263,605,0,713
626,256,690,1,897
695,267,755,1,888
779,269,870,6,911
578,263,561,0,838
641,256,571,0,0
677,267,756,2,923
702,270,697,8,912
867,269,625,13,909
625,269,645,4,914
715,258,630,0,0
667,277,725,1,905
642,265,443,0,873
622,280,613,0,0
733,272,733,149,910
812,268,697,6,912
642,283,678,199,911
600,248,538,0,0
638,265,649,180,911
802,263,693,5,903
619,256,499,0,0
842,346,790,198,918
860,377,754,19,960
569,250,547,0,727
643,277,742,2,932
593,261,552,0,0
610,258,547,0,0
784,261,591,4,905
840,307,706,234,913
568,265,578,4,908
790,272,655,9,914
625,258,621,0,0
653,260,582,1,909
605,250,574,0,0
759,261,520,4,909
751,265,571,5,910
577,260,449,0,0
591,252,721,0,0
663,270,733,1,919
600,255,501,0,820
795,265,722,5,910
672,325,693,193,910
610,273,483,201,910
616,257,516,0,0
736,260,633,0,927
827,262,646,4,904
796,282,793,73,911
698,292,680,8,912
643,271,628,197,911
640,260,635,0,924
606,266,509,0,888
737,260,622,0,0
581,266,530,0,0
826,263,744,2,905
713,261,704,1,908
579,256,470,1,888
648,260,631,0,801
692,261,612,0,789
644,314,665,187,912
609,370,680,6,938
791,274,706,19,914
596,277,572,196,911
581,286,587,207,911
663,260,589,0,0
604,256,583,0,902
581,263,534,0,902
824,273,783,1,910
725,281,752,9,912
584,250,608,0,0
617,251,472,0,0
655,343,649,1,904
698,272,679,192,911
660,274,606,392,911
709,263,758,0,896
865,283,792,27,915
585,257,647,3,915
676,268,655,0,867
590,251,473,0,690
588,283,562,200,911
766,260,592,2,908
585,256,512,0,849
674,256,598,0,670
794,283,751,212,912
784,258,556,4,906
694,263,656,0,823
681,270,704,2,913
683,288,598,210,910
677,269,565,187,909
576,260,534,0,844
770,266,711,0,790
597,247,765,0,728
688,266,610,0,839
588,246,550,0,641
771,259,689,8,911
812,297,761,33,920
785,281,921,9,913
674,283,679,184,911
594,260,581,0,867
734,265,611,194,909
807,262,688,1,898
799,266,595,5,907
612,286,659,0,867
630,256,536,0,887
760,268,697,13,911
644,255,589,0,0
664,435,668,0,0
609,262,541,0,711
781,266,616,6,917
695,260,619,2,912
612,258,550,0,751
615,252,537,0,749
756,276,684,174,909
585,284,580,297,912
623,288,588,0,811
667,253,596,1,891
772,262,763,0,0
916,308,872,275,945
734,298,689,198,909
612,286,610,387,913
805,261,704,6,911
578,263,793,0,898
656,258,569,0,760
576,253,539,0,0
609,276,696,3,908
601,263,558,0,853
625,258,591,0,863
622,264,525,0,0
693,255,596,0,0
712,261,604,0,0
637,286,709,9,919
635,287,599,190,911
594,252,445,0,0
797,262,765,4,910
645,260,639,0,688
575,272,803,0,905
598,253,559,0,773
770,264,616,4,908
682,260,568,0,839
675,269,614,4,911
816,434,807,66,924
805,268,731,0,775
607,263,570,0,0
634,255,549,0,0
878,265,892,9,910
615,255,537,0,0
758,261,591,2,909
636,267,614,0,639
578,270,567,0,804
643,270,618,0,857
660,260,576,188,909
601,261,491,0,917
620,262,502,0,0
852,310,751,20,929
600,258,544,3,912
592,253,564,0,875
714,282,959,182,915
754,266,722,4,909
686,285,737,0,0
669,263,637,0,0
587,266,496,200,910
579,249,534,0,852
602,256,528,0,0
686,431,612,0,802
781,262,717,6,907
592,280,591,0,881
783,261,586,2,911
645,266,520,0,846
668,262,621,0,0
679,254,535,0,924
627,263,610,0,846
567,276,514,172,910
780,262,515,2,897
706,264,639,0,714
635,288,561,386,912
770,261,510,4,911
645,256,568,0,806
605,249,577,0,0
589,255,576,1,911
620,261,548,0,734
649,259,606,0,882
791,261,571,10,911
810,274,679,194,914
594,255,567,0,0
748,352,704,0,0
592,259,583,0,826
666,287,645,0,0
594,249,627,0,888
688,281,667,5,909
734,269,727,8,913
602,272,621,1,917
669,258,705,3,911
623,260,534,0,0
695,258,576,3,909
625,258,664,1,908
624,271,645,4,911
617,259,553,0,0
702,257,608,0,830
721,258,698,6,910
703,263,607,0,955
574,306,689,158,920
709,264,594,1,900
579,254,565,0,865
720,257,521,1,889
597,249,509,0,0
575,251,559,1,909
658,264,617,0,0
685,276,669,184,911
734,262,611,0,804
663,260,685,0,907
600,269,519,0,0
654,268,596,201,910
845,291,721,44,915
636,261,492,0,767
779,264,695,4,907
626,318,731,169,913
606,270,586,205,912
668,267,639,0,700
599,262,506,0,843
620,257,538,0,905
581,502,639,1,924
783,261,605,2,901
739,268,647,6,909
578,266,582,1,926
569,280,613,1,916
653,265,726,1,916
645,285,795,1,914
599,255,592,0,0
620,272,484,0,0
678,266,895,5,918
578,255,487,0,607
616,325,572,197,911
737,264,622,204,909
859,309,917,62,920
692,270,663,202,910
847,296,741,420,944
809,260,558,5,910
863,287,843,29,911
604,290,548,0,0
572,274,693,1,908
676,264,611,0,852
723,267,633,185,909
727,258,580,8,906
701,258,630,1,910
769,260,557,4,905
694,260,600,2,907
768,261,665,0,838
666,258,586,0,0
840,268,742,7,910
605,252,562,1,914
690,270,684,195,910
690,264,567,201,909
569,253,523,0,904
721,259,566,2,908
590,270,568,0,729
633,263,560,0,922
645,280,610,205,911
887,327,755,15,933
630,268,609,180,910
633,249,650,0,0
