"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
700,267,567,193,908
697,259,633,0,0
636,256,613,0,0
656,262,586,0,0
697,261,679,0,830
671,273,564,203,909
826,268,797,12,910
635,264,576,0,676
759,261,652,0,0
622,247,589,0,0
627,251,540,0,858
685,268,588,178,909
569,269,539,0,0
714,260,610,6,907
846,277,955,14,913
580,248,553,0,0
614,251,705,0,0
725,258,633,0,843
785,263,829,3,912
672,267,736,7,907
599,263,544,0,0
615,255,543,1,893
842,264,839,4,910
689,261,626,5,910
723,267,787,4,908
647,269,563,169,910
891,295,899,86,918
646,263,600,0,811
680,263,567,1,918
610,258,651,0,792
637,254,628,1,906
700,330,662,2,942
777,305,914,9,911
736,264,579,188,909
628,259,657,0,855
632,258,515,1,898
603,257,607,0,902
730,260,650,6,906
669,264,602,0,859
681,277,609,188,909
650,290,601,445,912
595,251,579,4,906
587,249,542,0,0
727,261,645,0,907
699,262,617,3,900
600,256,590,0,889
738,263,702,0,0
710,261,622,0,817
588,265,597,0,807
591,258,694,1,894
595,293,710,177,912
800,263,707,1,902
749,264,614,5,912
728,259,683,0,914
778,269,728,0,889
679,256,556,0,899
839,288,988,25,914
623,253,593,0,778
624,262,616,1,917
633,269,481,0,885
688,265,674,188,909
756,261,646,0,0
696,258,654,2,899
621,256,489,5,909
620,265,488,4,909
788,262,748,11,907
612,256,615,0,912
600,275,597,208,912
577,254,545,1,898
749,261,665,1,901
589,256,645,1,899
660,267,619,1,906
672,277,612,206,911
731,261,639,0,0
585,272,613,0,0
706,265,622,169,908
625,276,638,214,910
607,271,668,0,909
735,264,602,6,908
618,254,700,0,867
654,280,651,181,910
595,293,600,210,914
685,263,620,5,907
666,260,614,1,912
713,265,636,0,788
722,259,673,0,0
645,267,715,0,0
671,266,776,4,913
764,269,771,0,858
703,258,639,0,910
609,282,579,0,903
654,257,669,0,0
754,262,627,7,907
634,266,564,0,0
696,271,649,172,910
689,259,491,1,899
778,260,710,7,909
702,286,630,0,852
623,252,620,8,909
752,262,779,2,903
633,270,523,198,910
584,299,676,2,917
703,259,649,0,848
595,260,695,3,904
590,271,535,0,0
650,281,706,182,911
715,261,665,0,0
654,261,610,0,0
688,269,606,189,909
732,260,617,0,798
616,275,733,0,742
753,263,624,0,813
685,275,637,188,910
798,264,807,10,908
636,283,603,195,911
874,272,852,25,912
699,280,709,392,913
638,301,628,0,619
576,298,557,200,913
631,259,704,0,0
703,268,708,168,909
587,256,478,0,792
617,247,629,1,901
595,249,649,1,905
681,258,613,2,906
662,253,597,4,908
757,263,602,180,908
735,266,589,184,909
847,286,818,19,913
688,263,618,0,0
708,261,628,1,901
594,255,562,0,847
581,253,438,0,891
699,257,677,0,892
812,272,821,40,910
721,261,751,0,713
579,249,516,0,0
807,267,835,7,908
639,278,688,164,910
639,257,527,0,889
800,275,726,22,910
618,258,582,0,0
620,261,701,0,0
676,267,663,6,911
677,261,606,0,888
614,264,533,0,830
786,264,763,0,883
590,273,625,5,904
787,265,788,0,880
628,251,532,1,906
628,266,716,0,870
586,253,637,2,908
780,262,698,6,908
578,258,572,0,892
691,259,586,0,847
623,261,596,0,0
583,277,614,218,911
749,336,727,165,913
687,267,540,195,910
811,265,754,0,883
670,271,717,151,910
610,269,483,2,906
672,259,587,3,909
633,281,620,0,820
680,258,698,0,887
770,261,701,0,830
817,262,680,4,909
769,262,761,6,908
658,262,537,0,0
632,281,671,180,911
678,259,638,0,901
772,261,710,6,907
661,260,645,0,821
591,268,728,172,912
673,270,603,199,910
624,261,635,0,902
703,262,532,9,908
781,260,664,0,0
