"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
649,272,600,196,910
699,277,645,208,912
593,282,647,2,919
581,338,678,4,929
619,283,600,3,914
670,265,520,211,910
683,266,604,0,0
608,263,608,3,915
752,262,628,0,0
948,457,850,255,922
600,256,510,214,911
640,271,646,0,705
689,262,615,186,909
615,250,498,0,635
632,265,548,203,911
747,265,848,0,896
651,261,471,0,860
714,258,479,0,866
840,319,815,846,940
616,251,618,0,868
675,258,619,2,901
796,261,640,4,902
713,276,652,8,913
820,263,743,9,910
637,254,628,0,0
593,259,423,0,781
602,258,577,0,0
598,256,454,3,907
796,313,684,5,912
728,317,656,0,0
596,329,630,1,907
749,264,706,0,901
570,258,563,0,811
639,263,480,201,909
623,284,537,429,911
789,261,612,4,908
766,261,670,5,907
745,257,807,2,908
639,267,621,1,884
730,260,568,4,907
661,258,580,0,877
789,263,651,9,906
792,263,801,6,907
708,258,640,3,910
613,262,630,0,613
768,262,695,4,910
762,259,663,0,0
574,262,540,0,885
788,260,639,5,909
586,261,629,0,830
759,277,684,218,911
604,300,573,0,719
762,263,681,2,910
660,295,862,0,888
700,260,628,0,778
640,276,585,200,911
586,259,619,0,929
734,270,694,175,909
658,267,533,4,904
603,279,600,192,910
593,246,552,0,890
580,250,517,0,0
728,261,718,3,908
605,262,514,0,887
777,264,700,5,910
696,272,571,1,895
660,265,512,198,910
598,256,531,0,0
623,274,570,206,911
626,259,588,1,886
631,254,548,0,842
792,261,778,3,905
675,277,574,168,910
769,260,631,3,908
686,275,703,167,911
742,277,787,0,0
814,296,903,4,913
857,311,935,74,919
645,256,486,203,910
693,275,686,170,911
592,251,518,0,0
688,260,650,5,907
592,250,581,0,0
614,264,735,1,899
957,335,881,324,951
748,266,816,3,909
696,274,529,405,910
707,263,493,0,621
666,291,653,5,916
620,284,563,208,910
767,264,678,2,906
584,370,539,0,0
676,279,671,3,909
838,277,854,3,911
696,280,697,165,911
572,255,544,0,670
605,264,601,0,0
819,262,778,5,905
599,250,537,0,832
621,247,385,0,0
732,268,688,371,912
602,260,636,0,0
600,259,718,1,911
627,259,746,1,906
573,259,595,0,802
766,261,519,4,906
749,259,640,6,907
732,304,642,1,912
609,260,558,0,0
604,266,571,0,764
627,274,544,204,909
626,266,576,0,683
607,285,591,208,911
685,259,581,0,868
724,259,605,0,0
636,275,557,197,910
786,261,590,5,906
677,288,594,0,0
641,271,534,199,909
899,276,809,69,918
765,269,696,9,911
668,262,784,0,861
577,268,503,0,0
655,264,666,0,820
606,295,539,217,910
698,262,612,3,906
640,255,587,0,0
671,263,608,6,906
610,263,465,2,904
674,259,561,0,0
577,258,566,0,840
675,268,718,1,888
814,284,792,7,909
649,292,713,184,912
723,259,717,2,901
586,248,550,1,913
627,256,630,3,909
609,259,526,0,0
776,266,774,7,906
620,273,496,438,912
729,261,694,8,906
706,262,545,210,909
631,257,544,0,0
629,260,751,0,896
617,287,579,198,911
656,273,558,208,911
589,247,542,0,851
592,253,536,0,0
580,262,645,5,914
578,290,458,224,911
580,252,562,0,0
849,274,728,39,913
634,259,669,2,908
804,260,719,0,0
784,324,678,19,924
773,291,766,31,918
760,260,613,1,905
641,272,501,215,910
677,262,734,4,907
791,291,712,5,918
688,263,697,1,907
642,270,622,0,835
646,263,544,3,906
626,261,553,0,814
687,270,552,196,910
662,256,600,0,887
626,261,592,192,911
614,263,520,0,0
624,268,531,0,897
717,260,636,0,875
829,264,793,15,909
599,256,590,0,0
705,259,600,0,0
595,252,346,1,913
667,257,416,0,0
644,420,692,7,910
670,255,613,2,911
635,253,625,0,785
690,268,618,1,901
810,263,797,15,908
924,289,969,62,919
877,295,795,57,924
619,257,518,0,702
796,261,626,5,910
572,250,631,0,678
639,261,623,0,822
625,259,569,1,896
608,256,556,0,773
782,262,632,16,909
599,244,561,0,0
680,281,610,21,914
659,257,632,0,836
753,259,534,0,889
593,250,603,2,902
604,254,554,2,905
761,260,640,5,909
852,506,890,360,915
688,259,524,1,902
622,260,683,0,850
615,255,565,0,721
629,269,618,179,911
611,266,571,0,892
597,259,596,0,888
580,270,609,0,0
