"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
673,269,561,193,910
573,266,561,1,896
631,299,679,5,909
625,259,496,1,915
685,292,708,4,919
590,248,482,0,0
636,253,598,0,788
662,258,440,0,887
745,273,709,15,914
582,259,542,0,900
714,257,537,0,0
686,259,701,0,880
702,266,685,6,909
657,259,465,0,756
779,351,771,201,910
590,259,568,0,0
770,261,601,0,755
707,258,673,2,906
785,262,720,0,0
814,264,731,2,904
690,302,773,0,890
737,258,534,4,909
708,261,609,0,0
669,266,726,2,914
619,256,645,2,899
675,260,693,0,867
709,258,600,0,0
815,260,580,6,910
688,267,578,196,911
729,270,553,181,910
614,256,563,152,910
596,272,618,2,905
688,262,753,0,899
830,280,724,216,911
737,314,680,9,927
716,266,572,0,795
1010,623,1023,117,998
712,287,802,10,923
674,285,602,396,914
590,260,512,0,903
727,295,845,128,916
793,294,764,207,910
591,324,818,8,941
679,268,564,209,910
577,260,594,0,0
612,264,525,0,0
587,287,685,0,874
753,263,748,1,902
813,263,740,0,916
635,267,569,0,659
639,259,394,0,906
668,262,704,1,904
594,287,644,0,0
739,262,606,4,904
577,293,593,195,912
686,261,579,0,0
946,308,785,208,926
584,266,522,0,0
652,264,530,1,900
774,326,699,7,934
700,260,785,0,0
633,261,530,0,0
677,275,585,203,910
600,301,695,1,926
767,264,771,4,906
689,267,698,179,910
654,262,543,0,870
728,260,648,0,866
649,255,567,0,0
815,261,669,1,903
707,269,570,1,895
815,262,729,0,0
690,282,657,363,921
733,258,553,0,0
710,258,744,2,911
607,275,517,176,910
764,263,597,4,911
664,257,534,1,891
585,271,627,2,912
857,309,797,78,931
669,254,475,0,0
700,261,683,8,912
690,272,607,198,910
727,268,720,3,901
712,261,605,2,901
846,342,767,24,948
588,264,613,1,902
702,260,561,0,0
666,258,572,0,0
598,263,554,0,771
629,255,409,0,0
930,338,880,94,931
870,359,790,40,937
578,270,531,0,0
611,270,635,0,873
708,289,692,4,913
662,282,791,3,917
655,263,654,1,908
627,278,667,1,910
616,276,604,3,905
602,257,506,0,0
808,262,721,0,845
693,302,644,0,763
794,261,705,0,0
699,272,602,190,910
769,267,749,2,914
744,261,632,0,0
596,274,602,195,916
702,261,667,6,909
757,262,823,4,911
674,282,763,2,914
592,258,593,0,0
624,367,738,3,966
593,283,541,1,924
700,258,607,0,916
697,263,767,0,0
603,281,602,193,911
580,251,516,0,0
780,278,672,0,937
689,284,634,180,911
598,295,594,0,0
632,257,646,0,822
646,256,552,0,762
661,270,705,3,910
599,323,675,2,905
641,257,570,0,0
707,291,602,190,914
591,279,494,0,0
656,304,678,386,937
581,253,571,0,0
751,263,673,6,908
593,282,689,0,0
780,259,651,0,746
608,255,467,1,893
653,299,728,204,913
603,256,511,0,0
599,253,383,0,841
779,266,675,5,919
831,539,796,29,949
628,527,760,7,940
617,263,605,1,902
625,282,628,4,913
874,271,796,45,913
676,264,651,4,909
609,270,562,203,910
733,258,710,1,907
722,260,631,3,909
722,259,593,0,0
1003,339,838,107,924
985,378,887,203,933
832,268,686,13,913
584,298,584,200,915
680,260,646,4,905
676,261,621,2,904
773,259,541,4,904
817,266,853,0,911
659,268,541,199,911
647,281,709,0,916
707,295,666,189,921
791,263,561,6,909
760,260,671,0,0
595,269,650,1,941
629,266,553,160,910
647,261,582,0,0
701,266,683,200,910
656,260,542,0,0
710,265,575,210,910
766,297,769,18,918
663,255,577,0,0
729,258,611,0,706
639,254,567,0,0
728,280,596,17,911
812,273,773,213,921
611,265,431,0,862
592,263,530,0,0
