"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
790,262,572,5,904
795,263,674,3,908
711,278,615,415,911
598,254,478,0,0
718,323,766,5,946
664,247,588,0,0
636,257,553,0,0
639,270,578,205,911
650,257,686,0,0
595,241,564,0,0
696,269,553,179,910
604,281,736,5,919
612,247,584,0,0
701,253,574,0,0
771,260,641,0,0
741,312,786,186,912
625,245,0,1,889
748,258,860,1,901
680,274,722,168,910
727,273,677,168,908
718,314,653,0,0
625,278,545,0,0
765,299,731,2,905
712,272,719,9,913
994,506,945,239,952
702,267,622,181,908
580,307,692,169,913
594,276,617,0,883
596,252,552,0,0
613,264,768,0,811
627,251,553,1,906
646,252,539,0,0
637,267,611,169,909
650,251,559,0,0
657,251,544,0,0
610,248,520,0,694
656,255,473,1,894
687,263,532,211,909
647,256,512,0,0
583,251,494,0,818
646,283,697,6,914
697,258,496,0,0
614,244,714,0,0
576,262,552,1,892
701,266,633,191,910
915,317,871,92,923
632,256,704,105,909
662,264,622,186,910
651,254,546,0,0
666,260,554,187,909
652,262,562,0,0
732,256,551,3,897
613,249,390,0,813
639,282,555,202,910
597,295,705,182,915
662,260,689,1,901
696,347,685,193,912
702,254,635,0,0
570,256,512,0,806
689,264,709,2,907
661,263,654,140,909
668,253,562,0,0
630,247,547,0,0
558,358,539,0,0
813,262,744,0,0
599,253,743,0,0
638,257,554,0,0
720,260,622,0,0
665,256,540,0,0
621,250,644,0,0
655,252,635,0,0
781,262,635,5,905
599,248,517,0,0
593,261,698,1,894
623,249,419,0,0
723,267,869,16,910
777,257,686,0,0
633,249,541,1,898
733,269,857,1,922
621,253,532,0,0
707,257,596,0,0
612,279,541,0,0
586,263,731,1,951
682,256,568,0,0
687,263,607,169,909
655,247,560,0,794
758,258,633,0,0
682,255,488,0,0
608,265,568,0,0
705,326,845,200,923
698,264,563,210,910
797,260,668,0,0
602,249,543,0,898
816,263,761,0,0
588,273,599,1,900
797,320,712,5,907
675,254,572,0,0
574,256,506,0,904
646,256,556,0,645
592,240,556,0,894
576,260,479,0,0
738,255,585,0,0
670,252,557,0,0
758,288,759,1,915
789,270,720,160,908
767,260,641,0,0
765,259,718,1,897
621,261,686,0,869
677,258,582,0,0
594,279,578,0,914
987,421,963,200,948
651,260,556,0,0
662,260,623,1,919
632,270,624,3,910
577,250,499,0,0
775,261,675,0,950
606,262,698,89,909
669,268,619,180,910
656,273,642,186,911
715,266,877,4,914
682,261,674,2,916
653,262,600,0,0
728,254,0,0,0
605,265,545,144,911
649,255,560,0,817
861,281,699,10,916
779,270,754,164,908
742,260,728,4,908
734,261,627,188,908
628,255,486,0,0
594,261,500,0,0
716,267,598,0,0
734,263,710,4,910
585,247,529,0,0
789,276,742,36,914
643,311,649,0,880
772,456,748,195,910
747,380,757,7,977
667,261,750,0,0
676,258,589,0,0
730,335,669,1,903
702,255,588,0,0
611,251,577,0,0
585,280,522,0,0
635,273,541,218,910
750,262,636,179,909
754,279,705,180,910
649,287,709,175,911
809,271,591,6,903
664,275,673,192,911
590,257,654,2,914
640,265,701,0,0
586,266,494,0,837
795,259,522,6,906
620,265,540,0,0
677,256,572,0,793
645,274,599,0,774
716,407,710,0,0
685,269,666,181,910
698,254,588,0,0
613,385,595,0,0
646,252,760,0,0
608,249,555,0,0
671,253,591,1,892
646,248,546,0,714
582,242,523,0,0
580,263,482,0,836
644,269,583,0,0
677,268,674,3,918
704,267,643,175,909
694,259,688,0,804
588,268,536,0,0
671,278,637,189,910
599,250,547,0,765
849,339,746,237,916
700,264,615,180,910
619,248,604,4,909
665,276,902,1,924
686,362,743,185,910
974,713,1006,488,955
658,273,645,197,911
718,308,676,175,910
789,261,629,3,909
590,248,518,0,0
713,266,603,0,0
595,240,384,0,0
859,290,710,15,920
735,268,598,191,909
600,258,710,102,909
689,257,579,0,0
731,256,656,1,892
811,261,708,0,0
613,289,681,310,913
650,285,786,172,910
621,296,576,0,0
657,252,582,0,831
701,253,601,0,0
692,268,662,187,910
802,432,962,277,932
869,440,808,297,952
871,302,871,7,912
630,249,511,0,830
674,272,613,0,720
581,287,581,0,783
648,253,523,0,0
583,254,580,0,0
677,267,588,198,910
650,284,509,0,885
730,257,625,0,0
654,267,592,0,0
672,260,614,1,888
597,250,515,0,0
621,242,566,0,0
711,268,650,193,909
804,261,637,7,906
721,298,640,3,905
778,267,857,3,904
735,254,630,0,0
654,257,594,0,0
605,259,608,127,910
612,253,550,1,905
803,284,679,0,0
725,262,567,166,908
671,260,787,5,907
587,240,513,0,0
834,361,858,2,917
755,271,742,19,912
614,297,668,1,931
636,261,551,0,0
582,247,434,0,0
610,286,602,0,798
752,267,870,15,910
650,261,698,1,897
601,272,699,2,907
752,300,757,9,911
770,261,649,0,0
822,302,796,32,918
786,326,594,3,902
755,260,641,0,0
733,256,682,0,0
751,259,618,0,0
632,261,626,2,901
644,347,676,206,913
590,298,684,4,934
846,349,847,42,922
603,262,556,0,900
704,257,691,0,0
738,260,699,10,907
716,276,723,0,0
641,247,561,0,0
660,253,557,0,0
664,277,608,186,910
670,272,704,164,913
608,256,589,0,0
661,298,721,179,914
638,259,665,0,852
632,264,729,177,912
725,268,665,184,910
609,312,622,1,917
749,294,725,5,910
758,267,671,181,910
645,265,633,4,909
650,265,583,0,891
703,277,749,173,910
671,270,565,196,910
680,249,578,0,0
630,262,655,1,910
628,263,561,0,0
637,255,514,0,0
663,252,750,0,787
599,252,509,0,0
734,256,617,0,0
627,271,617,192,912
659,257,625,1,903
581,253,640,1,874
696,257,636,156,909
702,254,586,0,0
682,265,648,190,910
589,253,645,1,899
602,266,531,0,0
609,307,587,1,909
701,267,571,209,909
812,261,617,5,906
773,263,780,0,941
711,257,581,0,804
660,281,682,179,913
793,260,680,0,0
596,274,535,0,0
801,261,677,0,828
743,260,651,157,909
649,272,679,185,910
626,252,566,1,873
611,254,512,0,0
643,279,701,3,915
642,253,546,0,843
712,263,573,204,910
629,272,640,0,923
823,263,657,5,904
661,270,666,203,911
620,375,635,2,912
705,258,563,0,902
774,261,688,6,908
810,270,798,0,904
718,375,792,187,912
610,255,607,1,915
620,262,515,1,903
653,284,685,192,912
637,269,656,0,773
747,266,713,26,908
729,268,654,0,808
663,316,741,5,919
679,254,543,0,0
704,278,690,187,911
999,426,981,296,982
602,275,539,1,933
718,265,587,1,964
614,265,505,0,947
774,388,797,20,973
1023,331,1023,419,939
601,256,460,3,909
593,257,476,0,0
685,293,735,185,911
587,263,515,1,923
608,251,797,0,835
593,248,552,0,0
705,272,650,162,908
595,253,510,0,825
688,260,597,0,0
707,260,580,0,786
754,273,726,169,910
834,299,822,16,916
674,265,573,0,844
698,255,575,2,902
780,257,661,0,0
636,260,573,0,0
597,302,694,9,936
630,255,544,0,877
615,250,524,0,0
663,253,558,0,883
638,253,532,0,0
788,271,598,10,909
771,262,571,1,926
663,270,754,169,910
584,263,517,0,0
615,274,666,218,911
658,251,824,0,0
573,297,526,216,912
603,247,572,0,852
615,254,487,0,0
757,267,709,0,842
683,259,654,0,0
674,259,558,0,858
598,260,537,0,0
799,261,700,0,858
728,259,682,1,917
782,259,690,0,895
684,252,733,0,804
754,264,697,20,909
631,257,620,0,750
659,269,555,218,910
593,455,550,0,0
788,263,713,0,921
685,270,632,192,910
600,319,625,1,915
676,291,644,189,911
697,269,603,172,909
700,265,540,193,909
744,273,729,20,914
701,288,719,18,918
777,260,661,0,900
782,261,387,4,908
877,797,877,766,999
980,563,1023,210,956
622,260,533,0,934
596,254,429,3,907
925,361,940,227,915
708,401,810,18,941
618,255,492,0,0
653,252,550,0,0
678,259,548,0,0
590,257,561,0,833
641,266,566,206,910
600,255,644,1,922
678,291,749,184,913
702,259,661,1,903
802,260,670,0,0
579,255,493,0,0
599,259,497,0,0
746,264,653,8,910
680,258,633,0,0
601,256,431,0,744
984,327,891,697,922
979,368,874,133,930
