Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_end_150213,815,260,633,222,908
Chicken,CRBC_end_150213,779,262,663,206,908
Chicken,CRBC_end_150213,751,260,598,215,909
Chicken,CRBC_end_150213,797,259,613,225,908
Chicken,CRBC_end_150213,781,257,642,201,907
Chicken,CRBC_end_150213,790,258,622,227,908
Chicken,CRBC_end_150213,730,262,561,227,909
Chicken,CRBC_end_150213,808,261,640,221,907
Chicken,CRBC_end_150213,737,260,612,232,908
Chicken,CRBC_end_150213,753,260,613,194,908
Chicken,CRBC_end_150213,768,259,637,225,909
Chicken,CRBC_end_150213,980,682,882,1023,912
Chicken,CRBC_end_150213,799,260,624,212,908
Chicken,CRBC_end_150213,770,262,625,219,908
Chicken,CRBC_end_150213,784,259,647,215,907
Chicken,CRBC_end_150213,744,258,606,212,908
Chicken,CRBC_end_150213,770,260,659,243,909
Chicken,CRBC_end_150213,767,261,670,221,908
Chicken,CRBC_end_150213,795,262,678,222,908
Chicken,CRBC_end_150213,769,261,640,221,908
Chicken,CRBC_end_150213,724,263,626,225,909
Chicken,CRBC_end_150213,772,261,629,216,908
Chicken,CRBC_end_150213,754,261,631,221,908
Chicken,CRBC_end_150213,759,258,634,219,908
Chicken,CRBC_end_150213,776,261,663,232,909
Chicken,CRBC_end_150213,693,263,646,221,910
Chicken,CRBC_end_150213,813,260,641,229,908
Chicken,CRBC_end_150213,765,260,607,226,908
Chicken,CRBC_end_150213,738,259,641,218,909
Chicken,CRBC_end_150213,702,260,657,236,909
Chicken,CRBC_end_150213,742,261,654,228,909
Chicken,CRBC_end_150213,745,261,649,232,909
Chicken,CRBC_end_150213,763,261,645,232,908
Chicken,CRBC_end_150213,782,259,603,201,908
Chicken,CRBC_end_150213,730,259,645,200,908
Chicken,CRBC_end_150213,801,261,601,219,908
Chicken,CRBC_end_150213,748,258,681,206,908
Chicken,CRBC_end_150213,672,253,641,146,908
Chicken,CRBC_end_150213,821,262,605,219,908
Chicken,CRBC_end_150213,792,261,620,233,909
Chicken,CRBC_end_150213,801,261,638,237,909
Chicken,CRBC_end_150213,847,374,737,436,962
Chicken,CRBC_end_150213,803,259,636,208,907
Chicken,CRBC_end_150213,770,259,638,226,908
Chicken,CRBC_end_150213,773,260,643,216,908
Chicken,CRBC_end_150213,750,260,628,227,909
Chicken,CRBC_end_150213,814,260,641,221,908
Chicken,CRBC_end_150213,774,258,622,208,907
Chicken,CRBC_end_150213,752,257,626,210,908
Chicken,CRBC_end_150213,832,411,685,457,965
Chicken,CRBC_end_150213,817,260,641,222,908
Chicken,CRBC_end_150213,705,265,668,209,910
Chicken,CRBC_end_150213,825,260,613,236,908
Chicken,CRBC_end_150213,761,259,664,206,908
Chicken,CRBC_end_150213,748,255,670,208,908
Chicken,CRBC_end_150213,791,260,634,241,909
Chicken,CRBC_end_150213,699,257,610,216,909
Chicken,CRBC_end_150213,806,260,666,237,908
Chicken,CRBC_end_150213,772,260,628,219,909
Chicken,CRBC_end_150213,853,352,745,652,947
Chicken,CRBC_end_150213,770,262,618,215,909
Chicken,CRBC_end_150213,773,255,603,191,907
Chicken,CRBC_end_150213,786,258,651,215,907
Chicken,CRBC_end_150213,751,257,643,201,908
Chicken,CRBC_end_150213,769,260,638,226,908
Chicken,CRBC_end_150213,732,258,616,208,908
Chicken,CRBC_end_150213,770,259,665,229,909
Chicken,CRBC_end_150213,808,259,625,218,908
Chicken,CRBC_end_150213,785,257,619,220,908
Chicken,CRBC_end_150213,801,259,639,233,908
Chicken,CRBC_end_150213,705,261,625,197,909
Chicken,CRBC_end_150213,806,260,624,217,909
Chicken,CRBC_end_150213,729,259,636,227,909
Chicken,CRBC_end_150213,762,258,633,203,907
Chicken,CRBC_end_150213,619,245,660,76,907
Chicken,CRBC_end_150213,805,259,647,212,908
Chicken,CRBC_end_150213,792,260,632,209,908
Chicken,CRBC_end_150213,736,259,626,200,908
Chicken,CRBC_end_150213,750,260,654,219,908
Chicken,CRBC_end_150213,776,259,647,228,908
Chicken,CRBC_end_150213,725,262,610,210,908
Chicken,CRBC_end_150213,811,261,627,219,908
Chicken,CRBC_end_150213,824,322,711,447,964
Chicken,CRBC_end_150213,777,261,641,214,908
Chicken,CRBC_end_150213,736,259,644,219,909
Chicken,CRBC_end_150213,706,261,627,222,910
Chicken,CRBC_end_150213,776,261,628,225,909
Chicken,CRBC_end_150213,635,254,630,82,908
Chicken,CRBC_end_150213,816,259,641,220,908
Chicken,CRBC_end_150213,766,260,643,215,909
Chicken,CRBC_end_150213,731,255,622,163,907
Chicken,CRBC_end_150213,778,259,615,237,908
Chicken,CRBC_end_150213,739,260,633,202,908
Chicken,CRBC_end_150213,788,259,638,204,907
Chicken,CRBC_end_150213,767,258,660,214,908
Chicken,CRBC_end_150213,774,260,638,223,908
Chicken,CRBC_end_150213,765,262,651,216,908
Chicken,CRBC_end_150213,800,259,623,181,907
Chicken,CRBC_end_150213,753,258,621,219,908
Chicken,CRBC_end_150213,757,259,609,203,908
Chicken,CRBC_end_150213,761,255,591,200,907
Chicken,CRBC_end_150213,745,258,631,210,908
Chicken,CRBC_end_150213,793,259,612,222,908
Chicken,CRBC_end_150213,761,257,611,195,907
Chicken,CRBC_end_150213,769,262,646,228,908
Chicken,CRBC_end_150213,751,261,668,218,909
Chicken,CRBC_end_150213,737,256,603,202,908
Chicken,CRBC_end_150213,776,264,619,228,909
Chicken,CRBC_end_150213,785,262,644,222,909
Chicken,CRBC_end_150213,784,258,635,196,907
