Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_150213,797,261,657,231,909
Chicken,CRBC_150213,780,261,632,245,909
Chicken,CRBC_150213,663,286,655,246,911
Chicken,CRBC_150213,811,261,652,253,909
Chicken,CRBC_150213,800,263,652,234,909
Chicken,CRBC_150213,736,267,645,236,910
Chicken,CRBC_150213,755,265,635,248,909
Chicken,CRBC_150213,756,263,654,251,909
Chicken,CRBC_150213,826,262,648,237,909
Chicken,CRBC_150213,782,262,649,234,910
Chicken,CRBC_150213,798,262,640,228,909
Chicken,CRBC_150213,841,356,700,477,962
Chicken,CRBC_150213,798,262,669,238,909
Chicken,CRBC_150213,812,262,659,243,909
Chicken,CRBC_150213,786,264,651,241,909
Chicken,CRBC_150213,763,264,646,230,908
Chicken,CRBC_150213,783,264,628,240,909
Chicken,CRBC_150213,800,262,625,239,908
Chicken,CRBC_150213,776,262,642,238,909
Chicken,CRBC_150213,806,262,622,243,909
Chicken,CRBC_150213,778,264,653,236,909
Chicken,CRBC_150213,767,266,620,238,909
Chicken,CRBC_150213,796,262,611,236,909
Chicken,CRBC_150213,720,276,631,249,911
Chicken,CRBC_150213,664,264,591,58,908
Chicken,CRBC_150213,803,262,658,248,909
Chicken,CRBC_150213,721,283,789,2,908
Chicken,CRBC_150213,773,265,640,246,909
Chicken,CRBC_150213,815,262,672,239,908
Chicken,CRBC_150213,773,262,642,188,909
Chicken,CRBC_150213,761,267,656,239,909
Chicken,CRBC_150213,796,261,633,245,909
Chicken,CRBC_150213,759,264,650,238,909
Chicken,CRBC_150213,835,260,650,238,908
Chicken,CRBC_150213,757,268,635,230,909
Chicken,CRBC_150213,753,265,647,233,909
Chicken,CRBC_150213,755,265,658,239,909
Chicken,CRBC_150213,770,264,649,243,909
Chicken,CRBC_150213,777,266,646,244,910
Chicken,CRBC_150213,781,265,626,226,909
Chicken,CRBC_150213,777,264,667,245,909
Chicken,CRBC_150213,775,264,636,242,910
Chicken,CRBC_150213,797,263,650,229,908
Chicken,CRBC_150213,770,264,628,235,909
Chicken,CRBC_150213,783,264,658,243,909
Chicken,CRBC_150213,791,262,671,237,909
Chicken,CRBC_150213,794,262,650,244,909
Chicken,CRBC_150213,777,263,635,236,909
Chicken,CRBC_150213,787,259,664,233,908
Chicken,CRBC_150213,742,265,638,233,910
Chicken,CRBC_150213,784,264,674,233,909
Chicken,CRBC_150213,785,263,660,235,909
Chicken,CRBC_150213,817,262,659,233,908
Chicken,CRBC_150213,740,270,634,238,909
Chicken,CRBC_150213,785,262,678,243,909
Chicken,CRBC_150213,812,261,634,250,909
Chicken,CRBC_150213,768,264,652,233,910
Chicken,CRBC_150213,780,264,677,245,909
Chicken,CRBC_150213,735,268,621,234,909
Chicken,CRBC_150213,788,262,657,227,908
Chicken,CRBC_150213,853,439,747,720,948
Chicken,CRBC_150213,764,267,623,239,909
Chicken,CRBC_150213,755,263,637,220,909
Chicken,CRBC_150213,791,264,674,236,909
Chicken,CRBC_150213,806,263,657,243,909
Chicken,CRBC_150213,762,262,646,249,909
Chicken,CRBC_150213,800,263,599,234,909
Chicken,CRBC_150213,789,261,654,241,909
Chicken,CRBC_150213,785,261,663,240,909
Chicken,CRBC_150213,767,267,637,234,910
Chicken,CRBC_150213,775,264,623,241,909
Chicken,CRBC_150213,656,281,683,243,911
Chicken,CRBC_150213,742,265,640,240,910
Chicken,CRBC_150213,741,264,658,240,910
Chicken,CRBC_150213,845,260,631,239,909
Chicken,CRBC_150213,805,261,646,231,909
Chicken,CRBC_150213,781,263,626,235,909
Chicken,CRBC_150213,832,262,663,230,909
Chicken,CRBC_150213,787,264,675,236,909
Chicken,CRBC_150213,756,263,643,202,908
Chicken,CRBC_150213,760,266,602,226,910
Chicken,CRBC_150213,852,352,702,478,935
Chicken,CRBC_150213,781,265,628,240,909
Chicken,CRBC_150213,738,265,656,236,909
Chicken,CRBC_150213,749,263,663,212,909
Chicken,CRBC_150213,790,262,628,243,909
Chicken,CRBC_150213,782,264,622,240,909
Chicken,CRBC_150213,799,261,660,183,908
Chicken,CRBC_150213,826,261,656,236,908
Chicken,CRBC_150213,798,265,635,245,909
Chicken,CRBC_150213,779,264,619,244,909
Chicken,CRBC_150213,802,262,669,247,909
Chicken,CRBC_150213,775,262,627,236,909
Chicken,CRBC_150213,804,263,629,248,909
Chicken,CRBC_150213,638,279,641,240,911
Chicken,CRBC_150213,814,263,647,235,909
Chicken,CRBC_150213,814,261,622,253,909
Chicken,CRBC_150213,666,279,657,255,912
Chicken,CRBC_150213,729,261,653,192,910
Chicken,CRBC_150213,729,266,656,224,909
Chicken,CRBC_150213,778,264,656,208,910
Chicken,CRBC_150213,765,265,654,243,909
Chicken,CRBC_150213,749,266,631,237,909
Chicken,CRBC_150213,817,262,671,237,908
Chicken,CRBC_150213,787,262,655,241,909
Chicken,CRBC_150213,739,266,649,225,910
Chicken,CRBC_150213,744,265,660,238,909
Chicken,CRBC_150213,758,263,653,249,909
Chicken,CRBC_150213,795,262,646,231,908
Chicken,CRBC_150213,796,262,670,229,909
Chicken,CRBC_150213,781,264,623,244,908
Chicken,CRBC_150213,812,262,659,252,909
Chicken,CRBC_150213,791,263,649,242,910
Chicken,CRBC_150213,757,264,683,248,910
Chicken,CRBC_150213,755,266,632,249,909
Chicken,CRBC_150213,652,271,650,70,909
Chicken,CRBC_150213,646,269,657,157,911
Chicken,CRBC_150213,789,262,634,230,908
Chicken,CRBC_150213,759,264,615,247,909
Chicken,CRBC_150213,825,261,653,229,908
