Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_end_150127,725,261,623,220,910
Chicken,CRBC_end_150127,800,259,622,211,908
Chicken,CRBC_end_150127,761,260,647,221,909
Chicken,CRBC_end_150127,779,260,653,228,909
Chicken,CRBC_end_150127,748,261,628,224,910
Chicken,CRBC_end_150127,583,259,634,43,909
Chicken,CRBC_end_150127,799,257,637,232,908
Chicken,CRBC_end_150127,721,265,601,222,910
Chicken,CRBC_end_150127,728,261,668,213,908
Chicken,CRBC_end_150127,786,258,646,212,910
Chicken,CRBC_end_150127,772,258,619,223,909
Chicken,CRBC_end_150127,765,262,628,226,909
Chicken,CRBC_end_150127,733,263,639,229,909
Chicken,CRBC_end_150127,783,259,652,224,908
Chicken,CRBC_end_150127,748,260,663,228,909
Chicken,CRBC_end_150127,773,260,609,202,908
Chicken,CRBC_end_150127,761,259,629,210,908
Chicken,CRBC_end_150127,764,259,637,215,909
Chicken,CRBC_end_150127,773,257,613,222,908
Chicken,CRBC_end_150127,886,483,750,830,974
Chicken,CRBC_end_150127,867,586,748,906,973
Chicken,CRBC_end_150127,776,260,626,217,908
Chicken,CRBC_end_150127,780,258,609,214,908
Chicken,CRBC_end_150127,762,259,639,216,909
Chicken,CRBC_end_150127,767,261,628,221,909
Chicken,CRBC_end_150127,750,259,635,223,909
Chicken,CRBC_end_150127,703,258,627,162,908
Chicken,CRBC_end_150127,751,259,615,222,908
Chicken,CRBC_end_150127,782,257,638,216,908
Chicken,CRBC_end_150127,791,258,629,206,908
Chicken,CRBC_end_150127,814,258,630,223,908
Chicken,CRBC_end_150127,766,259,642,225,909
Chicken,CRBC_end_150127,762,259,634,215,908
Chicken,CRBC_end_150127,771,259,636,219,909
Chicken,CRBC_end_150127,785,258,641,211,909
Chicken,CRBC_end_150127,821,258,659,229,908
Chicken,CRBC_end_150127,783,259,630,216,909
Chicken,CRBC_end_150127,806,258,610,206,909
Chicken,CRBC_end_150127,743,261,622,213,909
Chicken,CRBC_end_150127,743,260,656,215,909
Chicken,CRBC_end_150127,772,259,641,229,909
Chicken,CRBC_end_150127,783,258,620,220,908
Chicken,CRBC_end_150127,795,257,615,229,909
Chicken,CRBC_end_150127,769,256,656,224,909
Chicken,CRBC_end_150127,832,257,631,230,908
Chicken,CRBC_end_150127,807,259,653,212,908
Chicken,CRBC_end_150127,754,262,660,218,908
Chicken,CRBC_end_150127,769,258,663,218,908
Chicken,CRBC_end_150127,756,258,644,221,908
Chicken,CRBC_end_150127,779,260,665,212,909
Chicken,CRBC_end_150127,785,256,673,220,908
