"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
884,296,936,12,914
706,266,613,0,0
706,266,717,0,775
808,266,778,2,904
734,275,649,197,910
614,290,545,199,913
656,260,494,0,0
615,272,584,0,0
638,261,494,0,837
630,260,531,0,808
571,295,551,206,914
600,253,521,0,0
585,244,520,0,0
724,264,642,195,910
631,262,520,193,909
739,259,584,0,0
757,260,727,4,904
620,255,594,0,857
664,252,555,0,0
700,262,619,0,0
620,254,833,0,0
579,246,438,0,0
734,264,534,185,909
705,265,819,0,880
725,256,533,0,0
589,248,432,1,916
756,259,736,0,0
787,268,732,0,910
628,255,515,0,870
615,246,571,0,0
762,267,753,1,901
628,253,616,0,0
626,258,559,1,892
660,283,757,4,919
650,264,631,0,0
584,276,489,207,911
654,276,608,415,912
837,281,995,25,914
638,256,549,0,0
850,297,970,13,926
670,264,489,205,909
636,264,628,0,0
725,284,678,192,911
627,292,680,175,914
651,256,501,0,0
583,250,276,2,908
640,254,624,0,729
678,272,576,192,910
864,267,790,36,911
748,272,741,0,633
662,259,518,0,0
638,250,539,1,891
688,262,612,0,0
716,263,776,0,903
725,450,679,196,911
613,264,597,0,780
600,249,571,1,924
713,568,732,0,876
706,271,646,183,910
602,249,327,0,0
828,292,802,389,931
589,254,670,0,0
619,257,685,0,0
811,261,898,2,904
618,249,590,0,950
590,255,580,0,0
599,289,590,214,913
777,274,729,15,908
670,268,594,1,903
580,303,656,4,912
840,263,835,1,898
591,255,588,1,894
610,266,626,0,0
657,274,644,0,850
622,272,549,190,911
637,249,553,0,0
857,400,820,233,916
725,278,784,2,909
738,261,720,0,881
614,271,661,0,737
872,281,722,13,914
643,268,680,6,909
653,255,660,0,0
629,265,687,0,0
659,257,575,0,0
630,265,651,98,912
734,257,806,0,895
611,253,611,0,0
626,249,529,0,0
642,264,562,190,909
629,287,601,182,910
808,274,627,209,912
717,263,515,1,887
705,281,678,346,912
709,262,615,0,883
608,252,617,0,0
659,269,519,193,910
705,255,554,0,0
592,274,655,1,902
643,248,526,1,907
654,260,656,0,761
690,253,604,0,0
592,255,384,0,752
649,259,613,1,889
785,259,673,0,0
642,267,552,201,910
645,261,669,0,0
704,267,597,178,910
748,282,750,3,916
760,260,597,4,907
687,256,647,1,905
691,278,599,4,913
592,252,499,0,0
630,252,584,0,0
591,258,610,0,0
820,270,761,14,909
578,245,421,0,0
745,268,577,2,908
636,261,361,0,0
653,272,748,0,731
741,259,703,0,0
588,251,526,1,891
708,268,642,162,909
649,260,647,1,896
673,269,616,184,910
747,264,785,0,895
630,267,583,3,907
741,268,665,174,911
745,309,804,9,920
811,295,933,0,807
675,265,546,186,909
759,260,661,0,0
675,256,483,0,808
733,259,564,0,899
675,271,665,172,911
857,263,756,5,906
606,252,518,0,777
666,257,541,0,0
579,268,730,84,908
716,267,691,166,910
685,270,828,0,816
624,258,600,2,899
647,260,621,0,0
652,275,618,166,910
668,253,561,0,778
586,252,424,0,846
642,259,552,0,0
691,253,584,0,0
631,277,567,184,909
624,273,552,194,910
635,257,690,2,908
642,262,562,0,0
634,260,535,169,909
597,247,526,0,862
769,261,833,0,909
727,266,798,3,910
614,282,630,0,878
680,256,557,179,909
824,269,651,6,921
654,263,554,172,910
739,284,778,203,911
721,277,779,3,910
753,256,489,0,827
591,249,657,0,917
670,283,636,191,909
612,256,523,0,0
717,261,634,0,773
763,259,626,0,0
637,272,674,0,907
686,263,606,1,903
801,293,693,26,918
576,267,538,0,860
584,255,578,0,0
585,256,518,0,708
611,259,598,0,809
579,288,578,204,913
662,270,558,189,909
585,265,616,0,769
634,257,540,0,0
654,257,337,0,0
600,263,765,0,828
612,260,629,0,816
680,265,625,4,918
758,262,932,0,845
608,255,597,0,845
619,286,601,193,911
670,264,554,0,871
679,271,510,169,909
587,260,583,1,911
644,261,554,0,842
687,261,589,1,901
718,262,623,0,878
635,255,647,0,0
739,263,544,182,909
569,393,717,5,933
765,259,655,4,906
624,261,423,1,906
658,272,545,203,909
682,269,589,195,910
590,276,688,0,907
720,267,772,0,683
689,260,532,1,892
687,262,653,5,912
594,264,438,1,901
615,264,614,1,907
806,260,667,0,892
663,272,643,196,912
694,260,535,0,0
800,269,840,4,912
574,252,507,1,901
597,255,550,6,906
593,268,503,0,904
664,276,571,187,911
623,339,585,0,731
610,258,569,1,900
578,260,506,0,0
627,261,532,0,830
586,258,637,1,930
578,251,481,0,0
659,282,599,409,913
597,256,542,0,0
618,253,522,1,892
762,322,778,6,950
646,261,661,1,913
646,263,563,2,910
660,259,582,0,836
595,252,592,0,788
583,251,748,0,891
604,274,800,0,838
683,264,721,91,909
619,261,576,203,910
596,277,613,3,927
747,259,631,5,911
571,293,557,1,901
613,278,625,4,907
774,260,718,5,911
648,284,597,185,912
800,310,789,171,910
678,258,494,195,909
630,286,580,182,911
617,278,548,409,912
618,258,524,0,899
635,257,555,1,903
732,258,664,0,887
643,264,594,1,901
712,278,620,5,909
579,265,542,336,912
581,254,465,0,0
790,266,660,1,905
709,267,635,0,817
693,278,592,204,912
650,257,547,0,905
747,265,564,192,909
629,267,564,198,911
745,261,560,1,915
587,272,580,0,0
645,277,595,207,910
680,272,688,0,0
604,257,788,0,0
667,268,573,190,910
603,258,618,0,777
773,413,795,196,909
617,252,567,0,0
640,275,695,1,909
633,263,724,2,902
741,275,616,4,912
626,255,523,186,911
649,284,629,184,912
706,292,839,6,921
793,263,654,0,823
791,531,845,6,925
700,301,655,1,904
725,260,635,0,0
688,264,727,0,904
584,255,522,0,0
745,296,781,0,819
598,273,606,183,910
803,261,537,2,900
660,256,598,1,916
643,257,669,0,0
786,259,658,0,0
598,289,519,200,912
729,260,691,0,0
600,252,526,0,0
579,261,727,1,893
590,259,490,0,0
583,243,392,0,0
607,313,552,183,913
766,276,711,10,908
827,269,701,0,887
894,295,738,223,916
669,264,570,0,0
699,259,822,1,919
704,274,646,165,911
628,255,613,1,899
594,251,619,1,900
583,278,571,209,910
678,257,636,2,908
742,334,651,189,910
628,260,546,3,905
606,257,563,0,0
586,246,677,0,750
608,268,463,0,0
749,260,694,0,908
681,402,686,181,911
600,283,583,1,916
586,282,620,1,895
670,263,576,0,0
717,261,584,2,903
590,241,516,0,622
822,328,805,16,934
690,259,741,0,881
676,254,572,0,0
643,277,576,183,912
613,253,591,0,0
761,275,623,171,909
579,287,536,199,912
617,260,513,0,0
591,256,676,0,766
881,322,861,6,921
633,285,627,186,911
790,261,780,0,0
628,259,554,176,914
647,256,620,1,899
605,322,646,1,900
677,351,709,3,927
628,287,641,186,912
620,284,569,0,875
823,270,696,31,909
628,261,592,0,846
690,264,593,180,909
630,285,637,188,911
625,249,567,0,713
692,266,607,185,909
594,263,509,0,663
744,264,757,3,907
718,274,899,5,907
616,262,529,175,910
704,331,621,0,807
656,255,388,1,894
672,258,517,0,659
596,254,584,205,913
633,296,637,0,904
626,263,572,0,874
637,257,504,8,909
682,274,626,188,911
695,292,675,170,910
634,250,529,2,893
614,256,541,3,905
621,293,579,197,912
598,257,595,0,907
747,276,665,197,909
584,290,582,192,911
585,257,490,0,626
670,256,671,1,909
597,255,581,0,0
600,254,487,0,0
826,265,787,21,909
642,253,359,2,902
583,254,400,0,0
770,270,675,11,911
706,277,686,7,914
750,258,745,2,915
596,323,620,0,0
622,287,605,408,912
798,260,777,13,907
624,390,549,0,0
687,268,567,192,911
732,260,798,0,747
690,263,591,0,771
747,297,679,746,916
725,273,723,126,911
742,387,758,349,946
733,261,641,2,898
688,264,479,189,909
790,275,703,187,909
615,259,686,3,908
688,271,574,185,910
877,289,860,6,909
675,267,635,174,909
624,318,738,171,913
722,259,616,0,0
827,274,793,6,911
940,306,999,78,922
895,745,894,1023,997
847,389,734,359,962
608,254,640,0,0
807,264,621,5,905
580,267,544,0,901
590,254,492,0,624
672,258,641,2,910
635,272,579,199,910
643,259,546,0,847
591,264,648,1,891
702,260,699,0,0
619,282,598,194,911
661,322,604,2,918
668,283,714,185,910
627,276,660,7,926
708,272,875,0,0
731,273,729,168,910
634,260,583,0,0
719,267,590,190,910
731,257,602,0,721
578,264,527,0,0
619,271,600,0,0
575,261,496,0,0
618,258,511,0,0
638,252,508,0,0
737,260,559,2,900
766,261,813,0,0
621,249,516,0,0
610,306,774,1,910
678,257,606,0,0
624,253,743,0,0
656,263,630,0,840
583,282,628,0,881
748,266,652,175,909
672,262,785,1,902
675,268,708,28,919
730,260,673,0,911
722,491,691,0,907
876,289,788,39,919
896,297,817,48,922
672,281,589,184,918
654,309,740,12,924
861,267,764,20,908
659,263,652,5,906
745,260,688,3,910
709,259,583,0,0
619,257,613,0,868
716,258,584,0,813
624,272,556,205,911
691,344,722,422,913
710,261,722,1,910
978,455,1023,491,952
789,271,794,10,910
732,260,643,0,0
739,268,784,4,906
599,252,593,0,0
671,266,568,0,0
687,255,601,1,909
709,260,601,0,859
596,261,567,0,832
680,262,637,0,0
633,274,617,0,850
607,261,304,0,910
643,263,461,0,683
610,268,604,201,912
604,291,617,188,912
583,262,497,0,0
658,260,783,1,903
710,259,630,0,0
701,261,548,0,836
582,247,508,2,908
623,273,648,0,0
591,311,703,0,916
618,274,653,175,910
647,269,572,0,846
718,257,625,0,626
624,273,559,198,910
674,262,668,0,0
698,257,545,0,0
593,259,510,0,769
583,266,635,0,750
639,262,626,0,0
669,264,567,201,910
599,298,595,371,915
624,283,537,198,909
588,267,528,0,0
811,261,684,0,0
590,281,576,196,913
716,266,554,0,884
699,260,609,0,0
584,265,494,0,0
815,277,676,59,913
592,256,516,0,0
626,258,530,1,909
597,290,630,1,922
583,258,577,0,0
714,265,556,181,909
660,293,748,3,926
598,261,536,0,843
732,261,571,0,885
800,257,735,1,806
615,267,709,0,914
607,269,740,0,809
706,257,585,3,908
629,260,538,198,911
768,261,678,0,915
773,280,788,7,908
637,257,600,0,0
752,259,651,0,0
690,256,659,0,0
702,264,528,197,909
638,352,653,3,917
651,261,649,0,0
648,258,654,0,0
757,320,744,330,963
610,274,599,1,912
646,340,549,177,951
636,253,499,1,907
694,260,527,3,908
876,268,802,4,907
597,265,434,189,909
692,256,511,2,908
580,281,560,199,910
625,252,435,0,0
728,257,479,0,828
618,265,512,0,0
684,256,537,0,853
826,284,842,53,914
705,270,597,193,910
601,292,583,0,873
624,268,511,0,899
598,299,606,194,912
591,256,412,0,0
578,290,601,0,752
618,262,625,1,901
693,275,625,173,911
644,259,625,0,0
809,264,714,10,909
617,260,540,0,892
709,260,662,3,911
717,263,595,0,786
725,266,760,7,909
648,260,661,0,793
725,277,712,7,909
682,303,622,0,863
666,283,549,0,893
656,427,623,3,957
726,262,690,0,839
581,270,566,186,910
679,292,645,180,910
643,257,621,0,0
639,261,537,199,911
748,257,730,0,880
711,266,626,194,910
666,279,568,201,911
639,291,644,1,899
608,261,610,0,901
618,329,559,1,829
614,259,477,0,802
655,256,672,0,763
612,269,577,0,861
583,261,638,93,913
608,263,647,0,815
587,246,539,0,828
735,259,448,2,905
689,258,532,0,0
707,261,706,1,913
573,281,618,0,0
625,258,663,0,890
720,263,637,1,901
826,266,771,6,909
685,266,488,208,910
667,258,555,0,766
638,257,539,0,0
578,279,532,0,628
648,260,522,0,0
569,262,599,0,823
710,256,597,0,0
634,322,683,183,910
778,262,608,3,912
858,421,755,29,927
674,276,582,179,911
672,262,551,200,909
982,510,916,342,931
623,265,511,1,907
859,303,886,0,888
648,258,622,0,808
592,257,630,3,910
696,258,680,0,0
724,270,625,179,910
698,260,590,0,635
644,251,580,0,818
791,262,695,178,909
684,299,637,368,917
616,243,461,0,888
588,254,584,2,908
766,262,639,12,909
694,268,496,200,909
669,271,564,0,751
620,273,538,206,910
583,268,481,0,0
790,297,749,195,910
699,260,484,0,0
752,263,600,167,908
607,288,573,191,912
767,412,670,5,911
692,271,534,206,909
597,274,639,1,903
737,260,681,5,908
838,280,801,45,913
736,259,764,2,902
674,259,561,0,0
695,271,544,198,909
798,264,621,3,903
739,258,464,0,816
810,277,797,200,911
624,274,572,183,910
574,240,453,0,900
711,271,717,8,911
691,360,686,5,936
660,268,625,167,910
572,262,521,0,0
604,248,301,0,0
767,262,619,1,896
646,257,550,0,0
586,265,626,0,0
579,258,670,0,786
672,263,540,208,909
652,256,645,0,0
873,341,996,4,921
598,248,416,0,761
745,259,680,0,0
607,247,577,1,907
588,267,674,10,908
607,258,655,0,0
695,267,562,179,910
818,263,711,6,905
749,261,531,2,909
743,260,652,0,0
598,251,539,0,0
616,287,554,203,912
755,259,478,4,909
585,259,627,0,682
864,298,880,45,916
582,259,715,0,0
615,263,567,194,910
582,255,507,0,788
619,277,677,1,913
719,268,574,189,910
617,257,659,0,871
667,269,573,179,910
745,266,673,184,909
728,288,732,1,909
650,373,599,188,909
644,268,574,0,0
722,263,643,3,910
736,268,672,182,910
660,265,623,1,906
621,266,500,199,910
619,256,501,0,0
655,457,683,1,909
642,264,549,0,0
710,264,636,2,908
579,257,638,88,909
634,270,523,209,911
577,279,653,1,905
594,260,455,2,908
714,269,731,0,764
709,258,627,3,909
676,302,649,205,910
622,254,517,0,0
650,278,588,203,909
608,254,685,0,0
576,249,379,0,0
676,268,695,0,0
747,264,624,190,909
606,253,550,0,0
652,262,586,0,0
733,259,747,0,853
749,338,701,6,931
689,261,483,0,0
679,256,544,0,0
654,264,587,1,911
654,512,695,0,0
671,260,584,2,908
651,253,598,0,0
692,267,559,0,884
616,258,578,0,829
580,266,647,0,893
623,254,567,0,780
816,260,586,4,911
787,325,1023,186,909
992,331,849,43,920
626,267,600,2,915
615,261,576,0,0
645,316,598,0,0
706,270,825,3,907
661,279,585,192,910
599,249,587,0,0
595,255,655,0,0
675,258,629,0,913
652,281,594,177,910
580,387,745,2,927
609,265,647,201,910
615,284,540,0,0
596,261,523,0,915
602,254,592,0,0
600,250,625,0,925
637,246,550,0,0
583,274,459,0,0
623,302,628,197,914
798,281,752,1,906
717,258,704,1,893
626,267,557,197,910
618,261,87,0,0
572,241,523,0,0
606,256,559,0,0
648,259,552,0,815
632,261,536,0,839
617,295,546,207,912
743,263,746,10,909
598,252,569,1,897
692,268,573,201,909
631,290,842,2,923
698,273,615,193,910
583,252,658,0,0
606,267,510,0,688
782,266,768,7,908
793,297,678,3,911
786,290,662,375,918
717,259,716,0,726
687,258,564,0,856
676,262,620,0,822
602,273,459,0,903
598,259,514,0,0
839,328,906,3,937
570,279,491,0,0
641,257,498,0,690
645,262,479,0,779
623,257,597,1,902
722,262,578,0,877
867,289,855,197,913
695,266,597,169,908
633,254,566,0,716
589,277,613,206,912
578,268,547,0,806
720,276,788,0,0
596,307,618,3,917
601,261,694,0,0
739,267,611,4,910
613,263,483,3,907
780,266,683,6,913
671,266,664,0,869
572,272,535,0,0
671,286,583,418,912
726,281,664,211,911
577,260,565,0,808
756,261,622,6,904
601,259,547,0,698
714,259,605,0,639
609,255,511,206,910
714,260,581,0,933
790,264,629,179,908
591,263,295,2,903
630,267,562,2,911
609,262,518,0,890
708,268,608,0,806
822,267,702,35,909
728,260,644,0,823
795,447,776,19,929
621,253,485,0,803
806,277,879,1,906
808,270,630,3,910
608,280,743,90,909
700,259,608,0,898
645,280,589,174,910
592,271,679,0,862
710,260,596,4,909
600,258,606,0,0
736,257,626,0,799
718,258,593,0,703
675,266,586,191,910
803,267,729,33,909
790,260,726,0,881
621,277,388,187,909
701,279,665,6,915
709,283,638,20,914
671,266,724,1,895
657,270,590,0,900
692,267,566,189,910
582,320,520,2,905
637,263,521,2,904
815,283,717,45,912
709,257,530,0,0
567,271,497,0,0
711,294,525,1,900
598,264,535,0,771
779,260,565,3,908
626,277,623,2,905
694,257,586,0,873
636,260,417,3,905
649,272,646,180,909
668,273,563,168,911
745,294,862,2,913
627,261,573,0,880
588,255,586,0,0
697,260,535,205,909
638,282,575,148,910
846,285,873,47,916
657,253,624,0,0
721,261,527,191,909
708,259,637,0,876
888,280,798,54,913
593,255,642,0,0
719,259,576,4,909
594,259,526,0,0
812,264,700,5,907
624,256,430,1,905
642,256,564,0,811
619,289,723,154,913
624,286,616,0,0
803,267,721,0,843
591,256,539,1,898
582,233,514,0,0
618,246,455,1,904
600,262,476,1,919
636,271,485,200,911
669,257,537,199,908
674,258,405,0,0
581,259,547,2,908
598,254,569,0,641
640,258,541,0,854
580,234,605,0,0
577,251,576,0,0
787,259,654,0,0
683,259,647,0,0
737,262,716,0,0
697,255,559,1,887
757,260,626,1,891
654,255,520,0,0
683,281,612,184,911
711,263,547,5,904
592,254,594,0,925
593,261,429,0,781
779,260,564,2,912
583,248,600,0,0
651,275,526,190,910
648,279,589,190,912
658,276,646,170,910
789,259,587,3,904
791,261,733,0,873
603,260,569,0,860
619,258,610,0,868
775,262,613,4,907
649,301,497,1,964
595,285,520,194,911
783,261,733,3,909
600,307,653,109,914
814,261,613,6,909
687,261,557,190,909
809,260,602,0,888
666,279,599,173,912
706,536,823,7,937
621,271,612,97,909
715,263,583,0,834
714,270,650,0,0
578,261,535,0,0
572,255,600,0,723
665,261,575,0,853
605,255,546,0,0
666,268,567,176,911
668,261,555,0,698
604,257,556,1,905
767,262,654,3,911
695,259,599,0,696
627,275,527,0,0
593,251,527,0,0
710,261,593,0,755
686,271,613,183,909
619,291,597,198,913
667,261,545,201,909
679,261,696,0,750
576,253,632,0,0
765,259,585,0,0
624,254,545,0,0
624,264,567,2,907
593,254,374,3,908
576,267,545,0,0
784,262,649,7,907
581,256,603,0,0
683,276,602,199,910
654,253,656,0,891
678,275,536,210,909
671,261,544,2,908
626,273,589,1,918
611,254,676,1,897
616,255,547,0,612
667,277,671,201,909
613,248,482,0,860
582,258,452,0,873
754,260,600,2,908
655,272,589,191,909
768,309,778,404,910
634,253,539,2,900
617,259,517,0,0
691,256,497,1,898
714,269,829,1,890
649,332,560,0,0
733,271,774,2,910
614,259,605,0,862
656,264,522,198,909
585,255,552,1,907
620,263,588,0,0
642,291,610,200,913
670,281,576,208,912
775,263,866,3,909
771,263,642,3,912
780,265,707,146,909
592,261,598,1,917
584,270,509,0,0
632,248,506,5,906
593,260,578,0,721
814,278,707,12,917
752,268,723,5,913
687,257,567,0,781
718,273,683,0,779
584,258,619,0,0
608,261,519,0,823
578,253,572,0,0
668,259,581,0,922
669,290,579,200,911
605,260,529,0,0
622,283,699,0,0
625,275,655,1,904
814,393,772,23,910
628,267,569,199,911
895,295,928,1,918
588,251,513,0,784
788,280,724,3,929
754,267,814,2,907
667,272,733,3,907
757,263,530,209,909
637,254,435,0,733
581,266,584,0,830
724,440,652,3,926
707,260,672,0,681
612,244,578,0,0
696,254,601,0,782
707,264,627,2,907
594,262,638,0,740
755,261,639,0,0
737,265,664,170,909
718,258,464,2,909
640,258,514,1,909
756,268,618,194,909
602,277,599,176,913
613,285,562,195,911
658,256,556,0,0
639,251,556,0,0
683,260,641,0,868
732,272,698,176,910
581,265,784,0,803
612,267,593,0,859
803,262,649,3,910
798,261,685,4,907
704,256,632,0,810
775,1023,961,53,1023
655,254,681,0,885
747,262,653,0,0
668,267,476,201,910
738,258,542,0,857
634,294,635,178,914
714,283,687,191,912
813,271,790,9,911
763,266,586,1,912
672,254,551,0,819
587,280,747,12,913
590,327,643,212,911
812,260,584,6,911
745,260,686,1,892
702,259,801,0,735
586,273,640,0,872
727,257,498,0,843
602,255,573,0,768
736,269,937,0,823
723,259,745,1,896
635,255,611,0,0
673,296,755,7,923
628,272,620,3,915
639,251,671,1,908
664,254,550,0,734
725,258,692,0,0
617,262,685,0,890
623,271,661,0,0
616,250,468,0,902
799,389,852,169,912
756,273,672,171,912
674,259,745,0,0
797,260,684,0,778
635,260,586,1,902
804,263,719,8,911
642,261,555,2,903
636,274,454,205,910
731,261,801,0,911
713,275,716,178,911
598,292,609,0,916
665,257,778,0,897
619,268,582,186,910
764,288,798,5,918
688,262,580,192,909
582,260,548,0,853
792,263,641,5,910
604,266,591,0,633
686,272,618,200,912
623,254,610,0,907
