"FSC-A","FSC-W","SSC-A","DAPI-A","DAPI-W"
656,269,542,191,910
663,257,586,0,868
699,265,538,4,905
585,254,604,0,0
815,266,626,6,908
584,259,517,0,0
577,254,470,1,893
790,261,623,5,910
770,263,645,7,908
805,263,755,0,0
637,259,614,1,900
735,261,609,3,907
692,265,572,186,909
796,405,824,1,914
707,258,586,0,0
584,287,620,181,911
809,263,743,0,0
701,258,614,0,0
654,264,579,0,869
658,256,568,0,855
771,290,936,0,858
668,257,641,1,895
577,244,0,0,899
741,264,626,0,0
705,258,601,0,0
684,264,659,182,910
605,255,505,0,0
719,262,614,0,0
684,268,606,198,909
666,265,564,189,910
805,265,770,0,0
598,277,620,0,786
643,390,633,182,910
821,266,693,6,910
620,257,442,0,0
579,247,434,0,872
689,262,584,0,0
624,272,643,183,911
614,268,511,0,0
698,258,563,5,911
585,270,578,170,911
792,261,695,0,759
802,261,692,0,0
576,326,625,173,912
710,254,596,0,0
601,254,606,0,0
756,260,641,0,860
672,261,514,174,909
742,259,591,0,0
571,316,612,0,835
684,262,540,1,892
759,258,644,0,0
588,263,582,1,908
732,319,854,0,708
751,262,684,3,911
675,259,637,2,928
910,349,848,280,916
582,289,673,5,916
653,264,537,0,0
732,297,662,9,930
739,259,568,4,905
808,269,758,16,910
689,279,706,177,911
614,250,529,0,0
639,261,509,0,824
588,265,516,0,811
792,261,661,0,853
801,260,679,0,883
652,495,502,3,916
634,253,605,0,890
631,246,578,0,0
647,255,552,0,0
659,305,584,0,826
690,259,580,0,771
847,725,891,247,927
843,265,672,12,909
704,286,657,389,915
632,270,569,1,911
746,263,734,0,0
671,261,561,0,835
597,261,515,1,909
672,262,567,2,909
581,258,499,0,845
628,279,559,167,911
813,262,729,0,919
627,262,750,81,909
597,263,520,0,0
632,263,547,1,896
764,301,836,0,0
651,275,573,176,909
607,270,541,195,911
590,336,647,179,911
816,262,731,0,0
699,261,639,0,892
634,260,544,0,0
569,258,559,0,0
680,271,669,166,910
642,255,580,0,0
642,258,646,4,907
592,265,488,0,0
